0,0.04,0.48,0.28,0.48,0.6,0.6,0.28,0.52,0.36,0.28,0.52,0
0.04,0,0.48,0.32,0.52,0.6,0.6,0.24,0.52,0.36,0.32,0.52,0.04
0.48,0.48,0,0.48,0.56,0.56,0.16,0.6,0.4,0.8,0.36,0.32,0.48
0.28,0.32,0.48,0,0.2,0.88,0.6,0.56,0.52,0.36,0.28,0.64,0.28
0.48,0.52,0.56,0.2,0,1.08,0.56,0.76,0.44,0.56,0.2,0.84,0.48
0.6,0.6,0.56,0.88,1.08,0,0.68,0.36,0.92,0.56,0.88,0.32,0.6
0.6,0.6,0.16,0.6,0.56,0.68,0,0.76,0.24,0.96,0.36,0.44,0.6
0.28,0.24,0.6,0.56,0.76,0.36,0.76,0,0.64,0.2,0.56,0.64,0.28
0.52,0.52,0.4,0.52,0.44,0.92,0.24,0.64,0,0.84,0.24,0.68,0.52
0.36,0.36,0.8,0.36,0.56,0.56,0.96,0.2,0.84,0,0.6,0.84,0.36
0.28,0.32,0.36,0.28,0.2,0.88,0.36,0.56,0.24,0.6,0,0.64,0.28
0.52,0.52,0.32,0.64,0.84,0.32,0.44,0.64,0.68,0.84,0.64,0,0.52
0,0.04,0.48,0.28,0.48,0.6,0.6,0.28,0.52,0.36,0.28,0.52,0
