16
4
4
20
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	24.48	9.63	6.15	10.27	0.37	0.47	0.11	1.59	0.7	1.35	1.74	1.25	1.34	1.11	0.31	1.23

0	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	56.45	82.91	75	48.55	43.18	32.45	40.73	59.27	2.73	23.18	66.09	5.91	15.45	1.36	34.91	51.55

112.36	63.82	87.91	79.09	55	48	37.27	45.91	65.55	8.36	29.45	71.09	13.27	20.45	6.09	39	56.36

0	7	8	9	8	19	7	8	17	15	7	7	6	6	6	17	18
7	0	2	2	1	12	3	2	11	8	1	1	2	1	2	11	12
8	2	0	1	3	14	4	4	13	10	3	1	2	3	2	13	14
9	2	1	0	3	14	5	4	12	10	3	2	3	3	3	12	13
8	1	3	3	0	11	3	2	10	7	1	2	3	2	3	10	11
19	12	14	14	11	0	12	11	2	4	12	13	14	13	14	2	1
7	3	4	5	3	12	0	1	10	8	2	3	3	2	3	10	11
8	2	4	4	2	11	1	0	9	7	2	3	4	3	4	9	10
17	11	13	12	10	2	10	9	0	5	10	12	12	12	13	4	1
15	8	10	10	7	4	8	7	5	0	8	9	10	9	10	3	4
7	1	3	3	1	12	2	2	10	8	0	2	2	2	3	10	11
7	1	1	2	2	13	3	3	12	9	2	0	1	2	1	12	13
6	2	2	3	3	14	3	4	12	10	2	1	0	1	1	12	13
6	1	3	3	2	13	2	3	12	9	2	2	1	0	1	12	13
6	2	2	3	3	14	3	4	13	10	3	1	1	1	0	13	14
17	11	13	12	10	2	10	9	4	3	10	12	12	12	13	0	3
18	12	14	13	11	1	11	10	1	4	11	13	13	13	14	3	0











