25
19
19
44
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	40.02	22.69	21.62	41.27	4.17	6.66	8.67	19.55	41.57	40.17	3.02	19.96	26.34	20.84	32.84	31.4	14.6	21.58	0.77	2.46	0.42	0.27	0.93	0.5	1.22


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08

0	12.6	32.2	24.8	16.2	12.2	19	13.6	6.4	31.4	34.4	15	31.8	6.8	30.6	23.2	19.4	10	13.4	25.2	19.4	29.8	15.2	12.4	17.4	19.8

247.2	14.6	34.2	26.8	18.2	14.2	21	15.6	8.4	33.4	36.4	17	33.8	8.8	32.6	25.2	21.4	12	15.4	27.2	21.4	31.8	17.2	14.4	19.4	21.8



0	9	1	7	7	19	13	20	22	19	19	20	12	15	14	7	9	13	12	7	15	15	12	12	10	12
9	0	8	15	15	17	16	12	20	17	10	19	10	14	5	5	10	11	20	12	10	7	20	7	12	10
1	8	0	8	8	19	13	20	22	19	18	20	12	15	13	6	9	13	13	7	15	15	13	11	10	12
7	15	8	0	7	19	13	27	22	19	25	20	12	15	20	14	9	16	5	7	22	22	5	19	10	12
7	15	8	7	0	19	6	27	15	12	25	14	12	9	20	14	15	16	5	14	22	22	5	19	4	9
19	17	19	19	19	0	20	9	7	17	17	12	7	14	22	22	27	6	24	25	7	14	24	10	15	10
13	16	13	13	6	20	0	28	13	6	26	8	13	6	21	16	21	17	11	19	23	23	8	20	5	10
20	12	20	27	27	9	28	0	15	25	9	20	15	22	14	14	19	11	32	24	5	5	32	9	24	19
22	20	22	22	15	7	13	15	0	10	20	5	10	7	25	25	30	9	20	29	10	17	17	14	12	10
19	17	19	19	12	17	6	25	10	0	24	5	10	4	22	22	27	15	17	25	20	20	14	17	9	7
19	10	18	25	25	17	26	9	20	24	0	19	14	20	5	12	17	11	30	22	10	4	30	7	22	17
20	19	20	20	14	12	8	20	5	5	19	0	9	5	24	24	29	10	19	27	15	15	15	12	10	9
12	10	12	12	12	7	13	15	10	10	14	9	0	7	15	15	20	5	17	19	10	10	17	7	9	4
15	14	15	15	9	14	6	22	7	4	20	5	7	0	19	19	24	11	14	22	17	17	10	14	5	4
14	5	13	20	20	22	21	14	25	22	5	24	15	19	0	7	12	16	25	17	15	9	25	12	17	15
7	5	6	14	14	22	16	14	25	22	12	24	15	19	7	0	5	16	19	10	15	9	19	12	14	15
9	10	9	9	15	27	21	19	30	27	17	29	20	24	12	5	0	21	14	5	20	14	14	17	19	20
13	11	13	16	16	6	17	11	9	15	11	10	5	11	16	16	21	0	21	20	6	8	21	5	13	8
12	20	13	5	5	24	11	32	20	17	30	19	17	14	25	19	14	21	0	9	27	27	4	24	9	14
7	12	7	7	14	25	19	24	29	25	22	27	19	22	17	10	5	20	9	0	19	19	12	15	17	19
15	10	15	22	22	7	23	5	10	20	10	15	10	17	15	15	20	6	27	19	0	7	27	4	19	14
15	7	15	22	22	14	23	5	17	20	4	15	10	17	9	9	14	8	27	19	7	0	27	4	19	14
12	20	13	5	5	24	8	32	17	14	30	15	17	10	25	19	14	21	4	12	27	27	0	24	9	14
12	7	11	19	19	10	20	9	14	17	7	12	7	14	12	12	17	5	24	15	4	4	24	0	15	10
10	12	10	10	4	15	5	24	12	9	22	10	9	5	17	14	19	13	9	17	19	19	9	15	0	5
12	10	12	12	9	10	10	19	10	7	17	9	4	4	15	15	20	8	14	19	14	14	14	10	5	0





