20
5
5
25
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	25.56	43.36	38.31	6.75	3.25	1.68	1.21	1.24	0.78	0.81	2.27	1.13	1.87	0.46	0.21	0.52	1.4	1.65	2.35	0.1

0	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	0	5.97	12.8	0	0.33	17.8	3.3	24.23	0	0	9.27	14.93	0	20.7	0	1	15.83	8.5	18.9	11.9

41.2	37.67	8.47	14.3	37.67	2.43	20.17	4.93	26.07	37.57	36.9	11.5	16.83	37.63	23.4	37.5	3.07	17.6	10.8	20.67	13.67


0	6	17	17	6	4	8	16	7	8	17	19	8	6	7	9	15	19	7	18	7
6	0	12	12	1	9	2	11	2	3	12	13	3	1	1	3	9	13	2	13	2
17	12	0	4	13	14	10	1	12	13	7	2	9	12	11	12	3	5	10	6	10
17	12	4	0	13	14	10	3	12	13	4	2	9	12	11	12	3	2	10	3	10
6	1	13	13	0	9	3	12	1	2	13	14	4	1	2	3	10	14	3	14	3
4	9	14	14	9	0	10	13	10	11	14	15	8	10	10	12	11	15	9	15	7
8	2	10	10	3	10	0	9	2	3	10	11	2	3	1	3	7	11	1	11	3
16	11	1	3	12	13	9	0	11	12	6	3	8	11	10	11	2	4	9	5	9
7	2	12	12	1	10	2	11	0	1	12	13	3	1	1	2	9	13	2	13	3
8	3	13	13	2	11	3	12	1	0	13	14	4	2	2	1	10	14	3	14	4
17	12	7	4	13	14	10	6	12	13	0	5	9	12	11	12	5	2	10	1	10
19	13	2	2	14	15	11	3	13	14	5	0	11	14	12	14	4	4	12	4	12
8	3	9	9	4	8	2	8	3	4	9	11	0	4	2	4	7	11	2	10	1
6	1	12	12	1	10	3	11	1	2	12	14	4	0	2	3	10	14	2	13	3
7	1	11	11	2	10	1	10	1	2	11	12	2	2	0	2	8	12	1	12	3
9	3	12	12	3	12	3	11	2	1	12	14	4	3	2	0	10	14	3	13	5
15	9	3	3	10	11	7	2	9	10	5	4	7	10	8	10	0	4	8	4	8
19	13	5	2	14	15	11	4	13	14	2	4	11	14	12	14	4	0	12	1	12
7	2	10	10	3	9	1	9	2	3	10	12	2	2	1	3	8	12	0	11	2
18	13	6	3	14	15	11	5	13	14	1	4	10	13	12	13	4	1	11	0	11
7	2	10	10	3	7	3	9	3	4	10	12	1	3	3	5	8	12	2	11	0








