24
6
6
30
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	9.79	49.62	40.11	21.21	36.44	24.92	2.02	0.89	0.18	1.48	2.28	0.48	1.08	1.87	0.1	2.37	1.91	1.4	0.46	1.24	1.29	2.49	2.14	2.41


0	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	11.9	9.27	24.23	2.17	21.73	14.93	12.8	3.3	1	20.7	27.07	18.9	17.8	30.47	0.5	5.97	2.17	24.4	0.33	27.5	15.83	8.5	5.67	30.4

41.2	13.67	11.5	26.07	4.8	24.03	16.83	14.3	4.93	3.07	23.4	29.43	20.67	20.17	32.17	2.23	8.47	4.87	25.9	2.43	29	17.6	10.8	7.5	32.23


0	7	7	8	6	17	8	4	16	4	15	17	5	18	5	17	6	6	9	6	19	8	7	7	19
7	0	1	2	2	11	1	10	10	9	8	11	12	12	10	11	2	1	2	9	12	2	3	1	12
7	1	0	3	3	10	1	9	9	8	8	10	11	11	9	10	2	2	3	8	12	2	2	2	12
8	2	3	0	2	13	3	11	12	11	10	13	13	14	11	13	2	3	1	10	14	4	4	1	14
6	2	3	2	0	13	3	9	12	9	10	13	11	14	9	13	1	1	3	8	14	4	3	1	14
17	11	10	13	13	0	10	14	1	13	3	4	12	6	12	7	12	12	12	11	5	9	10	12	2
8	1	1	3	3	10	0	10	9	9	7	10	11	11	10	10	3	2	3	9	11	2	3	2	11
4	10	9	11	9	14	10	0	13	1	11	14	2	15	2	14	10	9	12	3	15	8	7	10	15
16	10	9	12	12	1	9	13	0	12	2	3	11	5	11	6	11	11	11	10	4	8	9	11	3
4	9	8	11	9	13	9	1	12	0	11	13	3	14	1	13	9	8	11	2	15	8	7	10	15
15	8	8	10	10	3	7	11	2	11	0	3	10	4	10	5	10	9	10	9	4	7	8	9	4
17	11	10	13	13	4	10	14	3	13	3	0	12	3	12	4	12	12	12	11	2	9	10	12	2
5	12	11	13	11	12	11	2	11	3	10	12	0	13	2	12	11	11	14	3	14	10	9	12	14
18	12	11	14	14	6	11	15	5	14	4	3	13	0	13	1	13	13	13	12	1	10	11	13	4
5	10	9	11	9	12	10	2	11	1	10	12	2	13	0	12	10	9	12	1	14	8	7	10	14
17	11	10	13	13	7	10	14	6	13	5	4	12	1	12	0	12	12	12	11	2	9	10	12	5
6	2	2	2	1	12	3	10	11	9	10	12	11	13	10	12	0	1	3	9	14	4	3	1	14
6	1	2	3	1	12	2	9	11	8	9	12	11	13	9	12	1	0	3	8	13	3	2	2	13
9	2	3	1	3	12	3	12	11	11	10	12	14	13	12	12	3	3	0	11	14	4	5	2	14
6	9	8	10	8	11	9	3	10	2	9	11	3	12	1	11	9	8	11	0	13	7	6	9	13
19	12	12	14	14	5	11	15	4	15	4	2	14	1	14	2	14	13	14	13	0	11	12	13	4
8	2	2	4	4	9	2	8	8	8	7	9	10	10	8	9	4	3	4	7	11	0	1	3	11
7	3	2	4	3	10	3	7	9	7	8	10	9	11	7	10	3	2	5	6	12	1	0	3	12
7	1	2	1	1	12	2	10	11	10	9	12	12	13	10	12	1	2	2	9	13	3	3	0	13
19	12	12	14	14	2	11	15	3	15	4	2	14	4	14	5	14	13	14	13	4	11	12	13	0





