22
16
16
38
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	45.09	9.96	14.91	24.83	44.5	25.07	13.85	26.7	28.71	20.64	0.74	35.14	25.34	19.06	3.25	17.93	0.59	0.51	2.03	0.98	0.13	0.94

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08
0	19	6.8	31.8	13.4	24.8	19.8	6.4	12.2	29.8	19.4	32.2	25.2	12.4	23.2	19.4	17.4	10	15.2	12.6	16.2	31.4	15
247.2	21	8.8	33.8	15.4	26.8	21.8	8.4	14.2	31.8	21.4	34.2	27.2	14.4	25.2	21.4	19.4	12	17.2	14.6	18.2	33.4	17


0	13	15	12	12	7	12	22	19	15	15	1	7	12	7	9	10	13	12	9	7	19	20
13	0	6	13	11	13	10	13	20	23	23	13	19	20	16	21	5	17	8	16	6	6	8
15	6	0	7	14	15	4	7	14	17	17	15	22	14	19	24	5	11	10	14	9	4	5
12	13	7	0	17	12	4	10	7	10	10	12	19	7	15	20	9	5	17	10	12	10	9
12	11	14	17	0	5	14	20	24	27	27	13	9	24	19	14	9	21	4	20	5	17	19
7	13	15	12	5	0	12	22	19	22	22	8	7	19	14	9	10	16	5	15	7	19	20
12	10	4	4	14	12	0	10	10	14	14	12	19	10	15	20	5	8	14	10	9	7	9
22	13	7	10	20	22	10	0	7	17	10	22	29	14	25	30	12	9	17	20	15	10	5
19	20	14	7	24	19	10	7	0	14	7	19	25	10	22	27	15	6	24	17	19	17	12
15	23	17	10	27	22	14	17	14	0	7	15	19	4	9	14	19	8	27	7	22	20	15
15	23	17	10	27	22	14	10	7	7	0	15	19	4	15	20	19	6	27	10	22	20	15
1	13	15	12	13	8	12	22	19	15	15	0	7	11	6	9	10	13	13	8	8	19	20
7	19	22	19	9	7	19	29	25	19	19	7	0	15	10	5	17	20	12	12	14	25	27
12	20	14	7	24	19	10	14	10	4	4	11	15	0	12	17	15	5	24	7	19	17	12
7	16	19	15	19	14	15	25	22	9	15	6	10	12	0	5	14	16	19	5	14	22	24
9	21	24	20	14	9	20	30	27	14	20	9	5	17	5	0	19	21	14	10	15	27	29
10	5	5	9	9	10	5	12	15	19	19	10	17	15	14	19	0	13	9	12	4	9	10
13	17	11	5	21	16	8	9	6	8	6	13	20	5	16	21	13	0	21	11	16	15	10
12	8	10	17	4	5	14	17	24	27	27	13	12	24	19	14	9	21	0	20	5	14	15
9	16	14	10	20	15	10	20	17	7	10	8	12	7	5	10	12	11	20	0	15	17	19
7	6	9	12	5	7	9	15	19	22	22	8	14	19	14	15	4	16	5	15	0	12	14
19	6	4	10	17	19	7	10	17	20	20	19	25	17	22	27	9	15	14	17	12	0	5
20	8	5	9	19	20	9	5	12	15	15	20	27	12	24	29	10	10	15	19	14	5	0
