35
26
26
61
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	37.81	47.52	33.56	9.3	14.49	2.91	2.2	13.98	8.52	33.86	45.12	17.6	5.01	39.65	23.42	34.37	34.15	21.07	32.97	31.67	26.26	9.56	25.6	37.42	20.99	36.87	1.72	2.39	0.77	0.86	0.97	0.07	1.58	1.41	0.91

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	2.17	18.18	8.93	1.63	0.75	13.65	22.8	8.95	0.25	20.63	6.38	6.95	18.3	5	4.47	2.48	16.3	1.63	15.55	14.18	13.35	6.53	9.6	0.78	4.25	22.85	11.2	4.22	11.23	18.77	11.88	0.38	15.53	20.3	7.08

30.9	3.95	19.55	10.25	3.65	2.3	14.83	24.18	10.13	1.83	21.75	8.1	8.63	19.43	5.93	6.35	3.7	18.02	3.6	17.52	15.5	15.13	7.9	10.73	2.5	5.63	24.13	12.63	5.6	12.6	20.4	13.2	1.68	17.55	22.08	8.6


0	14	7	7	6	15	8	8	7	4	9	7	19	6	15	17	16	17	5	7	18	8	7	17	14	6	4	8	6	9	13	19	6	7	5	17
14	0	21	18	20	17	10	22	8	11	23	20	16	12	3	14	15	21	9	11	20	20	9	18	1	20	12	19	10	9	2	19	20	21	11	3
7	21	0	3	1	9	11	1	14	10	2	2	13	9	22	12	11	12	12	10	13	2	12	12	20	2	10	3	11	12	19	13	1	1	10	24
7	18	3	0	3	8	8	4	11	7	5	2	12	6	19	10	9	10	9	7	11	3	9	10	17	2	7	1	8	9	16	12	3	3	7	21
6	20	1	3	0	10	10	2	13	10	3	2	14	9	21	12	11	12	11	10	13	3	11	12	20	1	9	4	11	11	19	14	1	2	10	23
15	17	9	8	10	0	7	10	9	11	10	8	4	9	18	3	2	5	10	8	4	7	8	3	16	9	11	7	9	8	15	4	10	8	10	19
8	10	11	8	10	7	0	12	3	4	13	10	11	2	11	10	9	11	3	1	11	10	1	10	10	10	4	9	2	1	9	11	10	11	3	13
8	22	1	4	2	10	12	0	15	11	1	3	14	10	23	13	12	13	13	11	14	3	13	13	21	3	11	4	12	13	20	14	2	2	11	25
7	8	14	11	13	9	3	15	0	4	15	12	12	5	9	10	9	14	2	4	13	13	2	10	7	12	4	12	3	2	6	12	13	13	4	10
4	11	10	7	10	11	4	11	4	0	12	9	15	3	12	14	13	14	2	4	15	10	3	14	10	9	1	8	3	5	9	15	9	10	2	14
9	23	2	5	3	10	13	1	15	12	0	3	14	11	24	12	11	12	14	12	13	3	14	12	22	3	11	4	13	14	21	14	3	2	12	25
7	20	2	2	2	8	10	3	12	9	3	0	12	8	21	10	9	10	11	9	11	1	11	10	19	2	8	2	10	11	18	12	3	1	9	22
19	16	13	12	14	4	11	14	12	15	14	12	0	13	17	2	3	5	14	12	4	11	12	2	15	13	15	11	13	10	14	4	14	12	14	19
6	12	9	6	9	9	2	10	5	3	11	8	13	0	13	11	10	11	3	1	12	9	3	11	11	8	2	7	2	3	10	13	8	9	1	15
15	3	22	19	21	18	11	23	9	12	24	21	17	13	0	15	16	22	10	12	21	21	10	19	2	21	13	20	11	10	4	20	21	22	12	2
17	14	12	10	12	3	10	13	10	14	12	10	2	11	15	0	1	7	12	10	6	10	11	4	14	12	13	9	11	9	13	5	13	11	12	17
16	15	11	9	11	2	9	12	9	13	11	9	3	10	16	1	0	6	11	9	5	9	10	3	15	11	12	8	10	8	14	4	12	10	11	18
17	21	12	10	12	5	11	13	14	14	12	10	5	11	22	7	6	0	12	10	1	10	12	4	20	12	13	9	11	12	19	2	13	11	12	24
5	9	12	9	11	10	3	13	2	2	14	11	14	3	10	12	11	12	0	2	13	11	2	12	9	11	3	10	1	4	8	14	11	12	2	12
7	11	10	7	10	8	1	11	4	4	12	9	12	1	12	10	9	10	2	0	11	10	2	10	10	9	3	8	1	2	9	12	9	10	2	14
18	20	13	11	13	4	11	14	13	15	13	11	4	12	21	6	5	1	13	11	0	11	12	3	19	13	14	10	12	11	18	1	14	12	13	23
8	20	2	3	3	7	10	3	13	10	3	1	11	9	21	10	9	10	11	10	11	0	11	10	20	2	9	2	11	11	19	11	3	1	10	23
7	9	12	9	11	8	1	13	2	3	14	11	12	3	10	11	10	12	2	2	12	11	0	11	9	11	3	10	1	2	8	12	11	12	2	12
17	18	12	10	12	3	10	13	10	14	12	10	2	11	19	4	3	4	12	10	3	10	11	0	17	12	13	9	11	9	16	2	13	11	12	20
14	1	20	17	20	16	10	21	7	10	22	19	15	11	2	14	15	20	9	10	19	20	9	17	0	19	11	18	9	9	3	19	19	20	10	4
6	20	2	2	1	9	10	3	12	9	3	2	13	8	21	12	11	12	11	9	13	2	11	12	19	0	8	3	10	11	18	13	1	1	9	22
4	12	10	7	9	11	4	11	4	1	11	8	15	2	13	13	12	13	3	3	14	9	3	13	11	8	0	8	2	5	10	15	9	9	1	14
8	19	3	1	4	7	9	4	12	8	4	2	11	7	20	9	8	9	10	8	10	2	10	9	18	3	8	0	9	10	17	11	4	2	8	22
6	10	11	8	11	9	2	12	3	3	13	10	13	2	11	11	10	11	1	1	12	11	1	11	9	10	2	9	0	3	8	13	10	11	1	13
9	9	12	9	11	8	1	13	2	5	14	11	10	3	10	9	8	12	4	2	11	11	2	9	9	11	5	10	3	0	8	10	11	12	4	12
13	2	19	16	19	15	9	20	6	9	21	18	14	10	4	13	14	19	8	9	18	19	8	16	3	18	10	17	8	8	0	18	18	19	9	5
19	19	13	12	14	4	11	14	12	15	14	12	4	13	20	5	4	2	14	12	1	11	12	2	19	13	15	11	13	10	18	0	14	12	14	22
6	20	1	3	1	10	10	2	13	9	3	3	14	8	21	13	12	13	11	9	14	3	11	13	19	1	9	4	10	11	18	14	0	2	9	23
7	21	1	3	2	8	11	2	13	10	2	1	12	9	22	11	10	11	12	10	12	1	12	11	20	1	9	2	11	12	19	12	2	0	10	23
5	11	10	7	10	10	3	11	4	2	12	9	14	1	12	12	11	12	2	2	13	10	2	12	10	9	1	8	1	4	9	14	9	10	0	14
17	3	24	21	23	19	13	25	10	14	25	22	19	15	2	17	18	24	12	14	23	23	12	20	4	22	14	22	13	12	5	22	23	23	14	0
