11
3
3
14
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	24.04	3.33	44.89	1.24	1.93	0.15	0.66	1.63	0.33	1.6	0.96


0	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	0	0	0	5.7	13.9	0	0	8.5	8.7	0	0

23	20.4	20.8	19.4	8.7	16.9	19.9	19.7	11.5	11.7	19.8	20.2


0	1	12	7	12	15	15	7	13	9	7	13
1	0	12	8	13	15	15	6	13	9	8	13
12	12	0	12	14	14	4	15	10	20	9	8
7	8	12	0	5	22	15	14	13	9	7	16
12	13	14	5	0	27	14	19	11	14	5	21
15	15	14	22	27	0	17	9	23	14	22	8
15	15	4	15	14	17	0	19	6	24	9	11
7	6	15	14	19	9	19	0	16	5	14	16
13	13	10	13	11	23	6	16	0	21	6	17
9	9	20	9	14	14	24	5	21	0	15	21
7	8	9	7	5	22	9	14	6	15	0	16
13	13	8	16	21	8	11	16	17	21	16	0
