12
6
6
18
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	12.5	46.38	3.43	14.97	29.58	10.16	1.59	2	1.25	1.63	1.99	0.58


0	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08

0	25.33	3.67	19.17	13	0.5	9.9	22.27	16.9	0.6	16.07	6.8	0.53

41.2	37.33	15.67	31.17	25	12.5	21.9	34.27	28.9	12.6	28.07	18.8	12.53


0	8	7	7	8	6	8	9	17	6	7	7	6
8	0	3	1	3	2	4	1	13	3	2	4	2
7	3	0	2	1	3	2	3	10	2	1	2	2
7	1	2	0	2	1	3	2	12	2	1	3	1
8	3	1	2	0	3	2	3	10	2	1	3	3
6	2	3	1	3	0	4	3	13	1	2	3	1
8	4	2	3	2	4	0	4	9	3	2	1	4
9	1	3	2	3	3	4	0	12	3	2	5	3
17	13	10	12	10	13	9	12	0	12	11	10	12
6	3	2	2	2	1	3	3	12	0	1	2	1
7	2	1	1	1	2	2	2	11	1	0	3	2
7	4	2	3	3	3	1	5	10	2	3	0	3
6	2	2	1	3	1	4	3	12	1	2	3	0


