13
6
6
19
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	29.74	13.11	30.14	35.56	11.09	5.87	0.74	0.8	1.06	1.27	0.21	0.66	2

0	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	4.33	0.17	0.33	0.18	7.42	1.22	8.44	3.3	5.36	0.2	6.39	5.63	2.27

13.73	8.33	4.17	4.33	4.18	11.42	5.22	12.44	7.3	9.36	4.2	10.39	9.63	6.27


0	8	6	15	6	9	7	8	8	7	6	7	17	7
8	0	3	7	3	3	1	3	2	1	2	2	10	3
6	3	0	10	1	3	3	2	4	2	1	1	13	3
15	7	10	0	10	10	8	10	7	8	9	9	5	8
6	3	1	10	0	3	2	2	4	2	1	1	12	3
9	3	3	10	3	0	3	1	4	2	3	2	12	5
7	1	3	8	2	3	0	3	2	1	2	2	10	2
8	3	2	10	2	1	3	0	4	2	3	1	13	4
8	2	4	7	4	4	2	4	0	2	3	3	9	1
7	1	2	8	2	2	1	2	2	0	1	1	11	3
6	2	1	9	1	3	2	3	3	1	0	2	12	2
7	2	1	9	1	2	2	1	3	1	2	0	12	3
17	10	13	5	12	12	10	13	9	11	12	12	0	10
7	3	3	8	3	5	2	4	1	3	2	3	10	0





