24
12
12
36
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	38.4	11.65	29.37	22.95	43.05	33.04	17.69	17.36	12.69	47.63	14.91	7.92	0.9	1.85	1.76	1.75	0.02	0.94	2.25	0.8	1.49	0.74	0.31	0.97


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	6.95	8.93	13.35	9.6	6.38	20.63	11.88	22.85	16.3	0.75	4.47	2.48	18.18	20.3	18.3	0.25	22.8	11.2	4.25	15.53	14.18	1.63	0.38	1.63

30.9	8.63	10.25	15.13	10.73	8.1	21.75	13.2	24.13	18.02	2.3	6.35	3.7	19.55	22.08	19.43	1.83	24.18	12.63	5.63	17.55	15.5	3.6	1.68	3.65

0	19	7	8	17	7	9	19	4	17	15	17	16	7	5	6	4	8	8	6	7	18	5	6	6
19	0	12	11	2	12	14	4	15	5	4	2	3	13	14	13	15	14	11	13	12	4	14	14	14
7	12	0	3	10	2	5	12	7	10	8	10	9	3	7	6	7	4	1	2	3	11	9	3	3
8	11	3	0	10	1	3	11	9	10	7	10	9	2	10	9	10	3	2	2	1	11	11	3	3
17	2	10	10	0	10	12	2	13	4	3	4	3	12	12	11	14	13	9	12	11	3	12	13	12
7	12	2	1	10	0	3	12	8	10	8	10	9	2	9	8	9	3	2	2	1	11	11	3	2
9	14	5	3	12	3	0	14	11	12	10	12	11	2	12	11	12	1	4	3	2	13	14	3	3
19	4	12	11	2	12	14	0	15	2	4	5	4	13	14	13	15	14	11	13	12	1	14	14	14
4	15	7	9	13	8	11	15	0	13	11	13	12	10	1	2	1	11	8	8	9	14	3	9	9
17	5	10	10	4	10	12	2	13	0	5	7	6	12	12	11	14	13	9	12	11	1	12	13	12
15	4	8	7	3	8	10	4	11	5	0	3	2	9	10	9	11	10	7	9	8	4	10	10	10
17	2	10	10	4	10	12	5	13	7	3	0	1	12	12	11	14	13	9	12	11	6	12	13	12
16	3	9	9	3	9	11	4	12	6	2	1	0	11	11	10	13	12	8	11	10	5	11	12	11
7	13	3	2	12	2	2	13	10	12	9	12	11	0	10	9	10	1	3	2	1	13	12	1	1
5	14	7	10	12	9	12	14	1	12	10	12	11	10	0	1	2	11	8	9	10	13	2	9	10
6	13	6	9	11	8	11	13	2	11	9	11	10	9	1	0	3	10	7	8	9	12	3	8	9
4	15	7	10	14	9	12	15	1	14	11	14	13	10	2	3	0	11	8	9	10	15	2	9	10
8	14	4	3	13	3	1	14	11	13	10	13	12	1	11	10	11	0	4	3	2	14	13	2	2
8	11	1	2	9	2	4	11	8	9	7	9	8	3	8	7	8	4	0	3	2	10	10	4	4
6	13	2	2	12	2	3	13	8	12	9	12	11	2	9	8	9	3	3	0	1	13	11	1	1
7	12	3	1	11	1	2	12	9	11	8	11	10	1	10	9	10	2	2	1	0	12	12	2	2
18	4	11	11	3	11	13	1	14	1	4	6	5	13	13	12	15	14	10	13	12	0	13	14	13
5	14	9	11	12	11	14	14	3	12	10	12	11	12	2	3	2	13	10	11	12	13	0	11	11
6	14	3	3	13	3	3	14	9	13	10	13	12	1	9	8	9	2	4	1	2	14	11	0	1
6	14	3	3	12	2	3	14	9	12	10	12	11	1	10	9	10	2	4	1	2	13	11	1	0








