13
3
3
16
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	32.39	22.55	27.35	0.74	1.86	0.47	1.72	0.46	0.92	1.56	1.95	0.2	2.32

0	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	4.33	5.63	1.22	0.17	3.3	0.18	6.39	7.42	5.36	0.2	0.33	2.27	8.44

13.73	8.33	9.63	5.22	4.17	7.3	4.18	10.39	11.42	9.36	4.2	4.33	6.27	12.44

0	8	17	7	6	8	6	7	9	7	6	15	7	8
8	0	10	1	3	2	3	2	3	1	2	7	3	3
17	10	0	10	13	9	12	12	12	11	12	5	10	13
7	1	10	0	3	2	2	2	3	1	2	8	2	3
6	3	13	3	0	4	1	1	3	2	1	10	3	2
8	2	9	2	4	0	4	3	4	2	3	7	1	4
6	3	12	2	1	4	0	1	3	2	1	10	3	2
7	2	12	2	1	3	1	0	2	1	2	9	3	1
9	3	12	3	3	4	3	2	0	2	3	10	5	1
7	1	11	1	2	2	2	1	2	0	1	8	3	2
6	2	12	2	1	3	1	2	3	1	0	9	2	3
15	7	5	8	10	7	10	9	10	8	9	0	8	10
7	3	10	2	3	1	3	3	5	3	2	8	0	4
8	3	13	3	2	4	2	1	1	2	3	10	4	0




