22
5
5
27
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	32.11	41.91	19.76	21.87	4.24	1.45	2.18	0.52	0.24	0.47	1.67	1.83	1.58	1.17	0.79	1.6	1.41	1.66	0.31	1.69	1.7	2.33

0	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	2.48	22.85	22.8	14.18	1.63	15.53	4.47	0.25	20.3	6.95	9.6	0.75	20.63	11.2	18.18	0.38	6.38	4.25	16.3	8.93	13.35	11.88

30.9	3.7	24.13	24.18	15.5	3.65	17.55	6.35	1.83	22.08	8.63	10.73	2.3	21.75	12.63	19.55	1.68	8.1	5.63	18.02	10.25	15.13	13.2


0	16	4	8	18	6	7	17	4	5	19	17	15	9	8	7	6	7	6	17	7	8	19
16	0	12	12	5	11	10	1	13	11	3	3	2	11	8	11	12	9	11	6	9	9	4
4	12	0	11	14	9	9	13	1	1	15	13	11	11	8	10	9	8	8	13	7	9	15
8	12	11	0	14	2	2	13	11	11	14	13	10	1	4	1	2	3	3	13	4	3	14
18	5	14	14	0	13	12	6	15	13	4	3	4	13	10	13	14	11	13	1	11	11	1
6	11	9	2	13	0	2	12	10	10	14	12	10	3	4	1	1	2	1	12	3	3	14
7	10	9	2	12	2	0	11	10	10	12	11	8	2	2	1	2	1	1	11	3	1	12
17	1	13	13	6	12	11	0	14	12	2	4	3	12	9	12	13	10	12	7	10	10	5
4	13	1	11	15	10	10	14	0	2	15	14	11	12	8	10	9	9	9	14	7	10	15
5	11	1	11	13	10	10	12	2	0	14	12	10	12	8	10	9	9	9	12	7	10	14
19	3	15	14	4	14	12	2	15	14	0	2	4	14	11	13	14	12	13	5	12	11	4
17	3	13	13	3	12	11	4	14	12	2	0	3	12	9	12	13	10	12	4	10	10	2
15	2	11	10	4	10	8	3	11	10	4	3	0	10	7	9	10	8	9	5	8	7	4
9	11	11	1	13	3	2	12	12	12	14	12	10	0	4	2	3	3	3	12	5	3	14
8	8	8	4	10	4	2	9	8	8	11	9	7	4	0	3	4	2	3	9	1	2	11
7	11	10	1	13	1	1	12	10	10	13	12	9	2	3	0	1	2	2	12	3	2	13
6	12	9	2	14	1	2	13	9	9	14	13	10	3	4	1	0	3	1	13	3	3	14
7	9	8	3	11	2	1	10	9	9	12	10	8	3	2	2	3	0	2	10	2	1	12
6	11	8	3	13	1	1	12	9	9	13	12	9	3	3	2	1	2	0	12	2	2	13
17	6	13	13	1	12	11	7	14	12	5	4	5	12	9	12	13	10	12	0	10	10	2
7	9	7	4	11	3	3	10	7	7	12	10	8	5	1	3	3	2	2	10	0	3	12
8	9	9	3	11	3	1	10	10	10	11	10	7	3	2	2	3	1	2	10	3	0	11
19	4	15	14	1	14	12	5	15	14	4	2	4	14	11	13	14	12	13	2	12	11	0












