19
9
9
28
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	38.79	33.07	23.48	10.99	30.13	9.21	9.88	43.1	6.28	1.61	1.09	1.53	1.84	0.76	0.11	2.09	0.92	1.65	2.24

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	14.54	1.98	10.68	13.04	5.1	11.34	8.96	18.24	16.5	1.3	0.3	3.58	7.14	9.5	7.68	5.56	12.42	3.4	0.6

24.72	15.64	2.96	12.1	14.42	6.48	12.4	10.1	19.34	17.4	2.92	1.34	5.08	8.2	10.56	8.58	6.9	14.04	4.5	1.84


0	7	16	8	17	7	18	8	8	9	6	6	17	7	19	17	19	7	6	15
7	0	11	2	12	2	13	3	1	2	1	1	12	3	13	12	13	1	2	9
16	11	0	9	6	9	5	8	12	11	11	12	1	9	4	3	3	10	11	2
8	2	9	0	10	1	11	2	3	3	3	3	10	3	11	10	11	1	2	7
17	12	6	10	0	10	1	9	13	12	12	13	7	10	2	4	5	11	12	5
7	2	9	1	10	0	11	2	3	3	2	3	10	2	12	10	12	1	2	8
18	13	5	11	1	11	0	10	14	13	13	14	6	11	1	3	4	12	13	4
8	3	8	2	9	2	10	0	4	4	4	4	9	1	11	9	11	2	3	7
8	1	12	3	13	3	14	4	0	1	2	2	13	4	14	13	14	2	3	10
9	2	11	3	12	3	13	4	1	0	3	3	12	5	14	12	14	2	3	10
6	1	11	3	12	2	13	4	2	3	0	1	12	3	14	12	14	2	1	10
6	1	12	3	13	3	14	4	2	3	1	0	13	3	14	13	14	2	1	10
17	12	1	10	7	10	6	9	13	12	12	13	0	10	5	4	2	11	12	3
7	3	9	3	10	2	11	1	4	5	3	3	10	0	12	10	12	3	2	8
19	13	4	11	2	12	1	11	14	14	14	14	5	12	0	2	4	12	13	4
17	12	3	10	4	10	3	9	13	12	12	13	4	10	2	0	2	11	12	3
19	13	3	11	5	12	4	11	14	14	14	14	2	12	4	2	0	12	13	4
7	1	10	1	11	1	12	2	2	2	2	2	11	3	12	11	12	0	1	8
6	2	11	2	12	2	13	3	3	3	1	1	12	2	13	12	13	1	0	9
15	9	2	7	5	8	4	7	10	10	10	10	3	8	4	3	4	8	9	0








