19
5
5
24
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	39.6	46.84	28.41	46.9	29.86	2.47	1.91	0.46	1.29	1.6	2.17	1.5	2.5	0.32	0.73	1.19	0.32	0.57	0.45

0	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	28.35	8.95	23.75	0	26.7	0	19.2	0	1.5	4.95	0	17.85	36.35	22.4	12.75	0	31.05	0	13.9

61.8	31	12.7	26.4	55.35	30.25	56.5	21.45	56.5	4.6	7.4	56.25	20.5	39.1	25.25	16.2	56.35	35.1	56.45	17.25


0	18	17	19	17	8	6	17	6	15	16	9	7	7	8	7	8	7	6	19
18	0	6	1	1	11	13	3	14	4	5	13	11	13	10	11	14	12	13	4
17	6	0	5	7	10	12	4	13	3	1	12	10	12	9	10	13	11	12	2
19	1	5	0	2	11	13	2	14	4	4	14	12	13	11	12	14	12	14	4
17	1	7	2	0	10	12	4	13	5	6	12	10	12	9	10	13	11	12	5
8	11	10	11	10	0	2	10	3	7	9	3	3	2	2	1	3	1	3	11
6	13	12	13	12	2	0	12	1	9	11	3	2	2	3	2	3	1	1	13
17	3	4	2	4	10	12	0	13	3	3	12	10	12	9	10	13	11	12	2
6	14	13	14	13	3	1	13	0	10	12	3	3	1	4	3	2	2	1	14
15	4	3	4	5	7	9	3	10	0	2	10	8	9	7	8	10	8	10	4
16	5	1	4	6	9	11	3	12	2	0	11	9	11	8	9	12	10	11	3
9	13	12	14	12	3	3	12	3	10	11	0	5	2	4	3	1	2	3	14
7	11	10	12	10	3	2	10	3	8	9	5	0	3	1	2	4	3	3	12
7	13	12	13	12	2	2	12	1	9	11	2	3	0	3	2	1	1	1	13
8	10	9	11	9	2	3	9	4	7	8	4	1	3	0	2	4	2	4	11
7	11	10	12	10	1	2	10	3	8	9	3	2	2	2	0	3	1	2	12
8	14	13	14	13	3	3	13	2	10	12	1	4	1	4	3	0	2	2	14
7	12	11	12	11	1	1	11	2	8	10	2	3	1	2	1	2	0	2	12
6	13	12	14	12	3	1	12	1	10	11	3	3	1	4	2	2	2	0	14
19	4	2	4	5	11	13	2	14	4	3	14	12	13	11	12	14	12	14	0










