16
8
8
24
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	7.16	27.97	0.23	38.33	42.44	45.84	49.35	25.26	0.68	0.25	1.27	1.46	1.91	0.21	1.65	1.29

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	6.4	19.6	15.2	8.4	15	7	4.4	4	26.6	26.2	7.6	10.4	24.6	12.2	14.8	21.4

247.2	22.8	28.6	26.2	20.2	24.8	19.2	17.4	18.6	39.6	39.2	19.4	21.4	36.8	22	25.8	30


0	22	7	12	12	13	19	13	15	1	12	9	20	15	7	9	7
22	0	25	10	20	13	7	9	7	22	10	20	5	17	15	30	22
7	25	0	15	19	16	22	16	19	6	15	5	24	9	14	5	14
12	10	15	0	14	10	10	8	4	12	4	10	9	14	9	20	12
12	20	19	14	0	11	24	21	14	13	17	20	19	27	5	14	5
13	13	16	10	11	0	20	17	6	13	13	16	8	23	6	21	13
19	7	22	10	24	20	0	6	14	19	7	17	12	14	19	27	19
13	9	16	8	21	17	6	0	11	13	5	11	10	8	16	21	16
15	7	19	4	14	6	14	11	0	15	7	14	5	17	9	24	15
1	22	6	12	13	13	19	13	15	0	12	8	20	15	8	9	8
12	10	15	4	17	13	7	5	7	12	0	10	9	10	12	20	12
9	20	5	10	20	16	17	11	14	8	10	0	19	7	15	10	15
20	5	24	9	19	8	12	10	5	20	9	19	0	15	14	29	20
15	17	9	14	27	23	14	8	17	15	10	7	15	0	22	14	22
7	15	14	9	5	6	19	16	9	8	12	15	14	22	0	15	7
9	30	5	20	14	21	27	21	24	9	20	10	29	14	15	0	9
7	22	14	12	5	13	19	16	15	8	12	15	20	22	7	9	0

