18
13
13
31
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	19.79	19.91	25.77	32.88	47.55	36.12	20	41.59	6.72	3.02	4.21	8.19	16.21	0.75	0.03	1.35	0.24	0.37

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08

0	14.18	8.93	0	15.53	18.18	2.48	0	4.47	9.6	0	0	0	0	0.75	11.2	6.38	11.88	13.35

30.9	15.5	10.25	28.25	17.55	19.55	3.7	28.18	6.35	10.73	28.13	27.68	28.23	28.25	2.3	12.63	8.1	13.2	15.13


0	18	7	6	7	7	16	8	17	17	9	17	6	6	15	8	7	19	8
18	0	11	13	12	13	5	14	6	3	13	1	13	14	4	10	11	1	11
7	11	0	2	3	3	9	4	10	10	5	10	3	3	8	1	2	12	3
6	13	2	0	1	2	11	3	12	12	3	12	1	1	9	3	2	13	2
7	12	3	1	0	1	10	2	11	11	2	11	2	2	8	2	1	12	1
7	13	3	2	1	0	11	1	12	12	2	12	1	1	9	3	2	13	2
16	5	9	11	10	11	0	12	1	3	11	6	11	12	2	8	9	4	9
8	14	4	3	2	1	12	0	13	13	1	13	2	2	10	4	3	14	3
17	6	10	12	11	12	1	13	0	4	12	7	12	13	3	9	10	5	10
17	3	10	12	11	12	3	13	4	0	12	4	12	13	3	9	10	2	10
9	13	5	3	2	2	11	1	12	12	0	12	3	3	10	4	3	14	3
17	1	10	12	11	12	6	13	7	4	12	0	12	13	5	9	10	2	10
6	13	3	1	2	1	11	2	12	12	3	12	0	1	10	4	2	14	3
6	14	3	1	2	1	12	2	13	13	3	13	1	0	10	4	3	14	3
15	4	8	9	8	9	2	10	3	3	10	5	10	10	0	7	8	4	7
8	10	1	3	2	3	8	4	9	9	4	9	4	4	7	0	2	11	2
7	11	2	2	1	2	9	3	10	10	3	10	2	3	8	2	0	12	1
19	1	12	13	12	13	4	14	5	2	14	2	14	14	4	11	12	0	11
8	11	3	2	1	2	9	3	10	10	3	10	3	3	7	2	1	11	0









