21
5
5
26
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	6.55	41.69	40.02	45.89	6.87	1.26	1.01	0.43	1.44	1.52	0.54	1.3	2.47	1.22	1.74	1.03	0.09	0.73	2	0.87	0.21


0	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	6.8	19.8	19.4	31.4	12.6	13.4	15.2	19	16.2	12.4	10	17.4	32.2	31.8	29.8	6.4	12.2	24.8	25.2	23.2	15

247.2	8.8	21.8	21.4	33.4	14.6	15.4	17.2	21	18.2	14.4	12	19.4	34.2	33.8	31.8	8.4	14.2	26.8	27.2	25.2	17



0	15	12	9	19	9	12	12	13	7	12	13	10	1	12	15	22	19	7	7	7	20
15	0	4	24	4	14	14	10	6	9	14	11	5	15	7	17	7	14	15	22	19	5
12	4	0	20	7	10	14	14	10	9	10	8	5	12	4	14	10	10	12	19	15	9
9	24	20	0	27	10	14	14	21	15	17	21	19	9	20	14	30	27	9	5	5	29
19	4	7	27	0	17	17	14	6	12	17	15	9	19	10	20	10	17	19	25	22	5
9	14	10	10	17	0	20	20	16	15	7	11	12	8	10	7	20	17	15	12	5	19
12	14	14	14	17	20	0	4	11	5	24	21	9	13	17	27	20	24	5	9	19	19
12	10	14	14	14	20	4	0	8	5	24	21	9	13	17	27	17	24	5	12	19	15
13	6	10	21	6	16	11	8	0	6	20	17	5	13	13	23	13	20	13	19	16	8
7	9	9	15	12	15	5	5	6	0	19	16	4	8	12	22	15	19	7	14	14	14
12	14	10	17	17	7	24	24	20	19	0	5	15	11	7	4	14	10	19	15	12	12
13	11	8	21	15	11	21	21	17	16	5	0	13	13	5	8	9	6	16	20	16	10
10	5	5	19	9	12	9	9	5	4	15	13	0	10	9	19	12	15	10	17	14	10
1	15	12	9	19	8	13	13	13	8	11	13	10	0	12	15	22	19	8	7	6	20
12	7	4	20	10	10	17	17	13	12	7	5	9	12	0	10	10	7	12	19	15	9
15	17	14	14	20	7	27	27	23	22	4	8	19	15	10	0	17	14	22	19	9	15
22	7	10	30	10	20	20	17	13	15	14	9	12	22	10	17	0	7	22	29	25	5
19	14	10	27	17	17	24	24	20	19	10	6	15	19	7	14	7	0	19	25	22	12
7	15	12	9	19	15	5	5	13	7	19	16	10	8	12	22	22	19	0	7	14	20
7	22	19	5	25	12	9	12	19	14	15	20	17	7	19	19	29	25	7	0	10	27
7	19	15	5	22	5	19	19	16	14	12	16	14	6	15	9	25	22	14	10	0	24
20	5	9	29	5	19	19	15	8	14	12	10	10	20	9	15	5	12	20	27	24	0
