20
10
10
30
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	11.76	12.24	32.05	15.23	41.28	44.18	47.27	19.54	40.07	7.86	1.56	1.75	0.21	1.33	2.22	0.66	0.59	2.1	1.24	0.38


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	12.6	29.8	16.2	31.8	17.4	10	15	15.2	6.4	13.4	24.8	23.2	19.4	19.8	31.4	25.2	6.8	19	32.2	12.2

46	14.6	31.8	18.2	33.8	19.4	12	17	17.2	8.4	15.4	26.8	25.2	21.4	21.8	33.4	27.2	8.8	21	34.2	14.2


0	9	15	7	12	10	13	20	12	22	12	7	7	9	12	19	7	15	13	1	19
9	0	7	15	10	12	11	19	20	20	20	15	5	10	10	17	12	14	16	8	17
15	7	0	22	10	19	8	15	27	17	27	22	9	14	14	20	19	17	23	15	14
7	15	22	0	12	4	16	14	5	15	5	7	14	15	9	12	14	9	6	8	19
12	10	10	12	0	9	5	9	17	10	17	12	15	20	4	10	19	7	13	12	7
10	12	19	4	9	0	13	10	9	12	9	10	14	19	5	9	17	5	5	10	15
13	11	8	16	5	13	0	10	21	9	21	16	16	21	8	15	20	11	17	13	6
20	19	15	14	9	10	10	0	15	5	19	20	24	29	9	5	27	5	8	20	12
12	20	27	5	17	9	21	15	0	17	4	5	19	14	14	14	12	10	8	13	24
22	20	17	15	10	12	9	5	17	0	20	22	25	30	10	10	29	7	13	22	7
12	20	27	5	17	9	21	19	4	20	0	5	19	14	14	17	9	14	11	13	24
7	15	22	7	12	10	16	20	5	22	5	0	14	9	12	19	7	15	13	8	19
7	5	9	14	15	14	16	24	19	25	19	14	0	5	15	22	10	19	16	6	22
9	10	14	15	20	19	21	29	14	30	14	9	5	0	20	27	5	24	21	9	27
12	10	14	9	4	5	8	9	14	10	14	12	15	20	0	7	19	4	10	12	10
19	17	20	12	10	9	15	5	14	10	17	19	22	27	7	0	25	4	6	19	17
7	12	19	14	19	17	20	27	12	29	9	7	10	5	19	25	0	22	19	7	25
15	14	17	9	7	5	11	5	10	7	14	15	19	24	4	4	22	0	6	15	14
13	16	23	6	13	5	17	8	8	13	11	13	16	21	10	6	19	6	0	13	20
1	8	15	8	12	10	13	20	13	22	13	8	6	9	12	19	7	15	13	0	19
19	17	14	19	7	15	6	12	24	7	24	19	22	27	10	17	25	14	20	19	0


