17
13
13
30
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	13.42	12.89	16.58	7.61	17.4	6.08	44.21	4.71	46.5	19.95	2.37	17.12	36.8	1.99	1.36	1.72	2.23

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08

0	0	14.18	9.6	13.35	6.38	0	11.88	2.48	0	0	0	11.2	18.18	15.53	8.93	0.75	0

30.9	28.18	15.5	10.73	15.13	8.1	28.13	13.2	3.7	28.25	28.23	28.25	12.63	19.55	17.55	10.25	2.3	27.68


0	8	18	17	8	7	9	19	16	6	6	6	8	7	7	7	15	17
8	0	14	13	3	3	1	14	12	3	2	2	4	1	2	4	10	13
18	14	0	3	11	11	13	1	5	13	13	14	10	13	12	11	4	1
17	13	3	0	10	10	12	2	3	12	12	13	9	12	11	10	3	4
8	3	11	10	0	1	3	11	9	2	3	3	2	2	1	3	7	10
7	3	11	10	1	0	3	12	9	2	2	3	2	2	1	2	8	10
9	1	13	12	3	3	0	14	11	3	3	3	4	2	2	5	10	12
19	14	1	2	11	12	14	0	4	13	14	14	11	13	12	12	4	2
16	12	5	3	9	9	11	4	0	11	11	12	8	11	10	9	2	6
6	3	13	12	2	2	3	13	11	0	1	1	3	2	1	2	9	12
6	2	13	12	3	2	3	14	11	1	0	1	4	1	2	3	10	12
6	2	14	13	3	3	3	14	12	1	1	0	4	1	2	3	10	13
8	4	10	9	2	2	4	11	8	3	4	4	0	3	2	1	7	9
7	1	13	12	2	2	2	13	11	2	1	1	3	0	1	3	9	12
7	2	12	11	1	1	2	12	10	1	2	2	2	1	0	3	8	11
7	4	11	10	3	2	5	12	9	2	3	3	1	3	3	0	8	10
15	10	4	3	7	8	10	4	2	9	10	10	7	9	8	8	0	5
17	13	1	4	10	10	12	2	6	12	12	13	9	12	11	10	5	0





