19
14
14
33
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	42.32	25.3	13.94	37.33	11.85	47.87	31.01	30.01	8.63	4.52	12.76	42.93	45.55	34.98	1.81	0.57	1.44	2.03	1.01

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08

0	9.27	3.3	0	14.93	0	8.5	5.97	0	15.83	11.9	20.7	0	17.8	12.8	1	0	0	18.9	24.23

41.2	11.5	4.93	37.67	16.83	37.63	10.8	8.47	37.67	17.6	13.67	23.4	36.9	20.17	14.3	3.07	37.57	37.5	20.67	26.07


0	19	16	6	8	6	7	17	6	19	7	7	17	8	17	15	8	9	18	7
19	0	3	14	11	14	12	2	13	4	12	12	5	11	2	4	14	14	4	13
16	3	0	12	8	11	9	1	11	4	9	10	6	9	3	2	12	11	5	11
6	14	12	0	4	1	3	13	1	14	3	2	13	3	13	10	2	3	14	1
8	11	8	4	0	4	2	9	3	11	1	2	9	2	9	7	4	4	10	3
6	14	11	1	4	0	2	12	1	14	3	2	12	3	12	10	2	3	13	1
7	12	9	3	2	2	0	10	2	12	2	1	10	1	10	8	3	3	11	2
17	2	1	13	9	12	10	0	12	5	10	11	7	10	4	3	13	12	6	12
6	13	11	1	3	1	2	12	0	13	2	1	12	2	12	9	3	3	13	2
19	4	4	14	11	14	12	5	13	0	12	12	2	11	2	4	14	14	1	13
7	12	9	3	1	3	2	10	2	12	0	3	10	3	10	8	4	5	11	3
7	12	10	2	2	2	1	11	1	12	3	0	11	1	11	8	2	2	12	1
17	5	6	13	9	12	10	7	12	2	10	11	0	10	4	5	13	12	1	12
8	11	9	3	2	3	1	10	2	11	3	1	10	0	10	7	3	3	11	2
17	2	3	13	9	12	10	4	12	2	10	11	4	10	0	3	13	12	3	12
15	4	2	10	7	10	8	3	9	4	8	8	5	7	3	0	10	10	4	9
8	14	12	2	4	2	3	13	3	14	4	2	13	3	13	10	0	1	14	1
9	14	11	3	4	3	3	12	3	14	5	2	12	3	12	10	1	0	13	2
18	4	5	14	10	13	11	6	13	1	11	12	1	11	3	4	14	13	0	13
7	13	11	1	3	1	2	12	2	13	3	1	12	2	12	9	1	2	13	0













