14
10
10
24
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	48.65	32.45	40.02	22.69	21.62	41.27	4.17	6.66	8.67	19.55	2.08	2.01	0.15	1

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08

0	0.17	4.6	3.3	7.42	5.36	0.33	8.44	6.39	0.18	1.22	0.2	2.27	4.33	5.63

13.73	4.17	8.6	7.3	11.42	9.36	4.33	12.44	10.39	4.18	5.22	4.2	6.27	8.33	9.63

0	6	18	8	9	7	15	8	7	6	7	6	7	8	17
6	0	14	4	3	2	10	2	1	1	3	1	3	3	13
18	14	0	10	13	12	4	14	13	13	11	13	11	11	1
8	4	10	0	4	2	7	4	3	4	2	3	1	2	9
9	3	13	4	0	2	10	1	2	3	3	3	5	3	12
7	2	12	2	2	0	8	2	1	2	1	1	3	1	11
15	10	4	7	10	8	0	10	9	10	8	9	8	7	5
8	2	14	4	1	2	10	0	1	2	3	3	4	3	13
7	1	13	3	2	1	9	1	0	1	2	2	3	2	12
6	1	13	4	3	2	10	2	1	0	2	1	3	3	12
7	3	11	2	3	1	8	3	2	2	0	2	2	1	10
6	1	13	3	3	1	9	3	2	1	2	0	2	2	12
7	3	11	1	5	3	8	4	3	3	2	2	0	3	10
8	3	11	2	3	1	7	3	2	3	1	2	3	0	10
17	13	1	9	12	11	5	13	12	12	10	12	10	10	0







