30
7
7
37
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	3.38	17	8.85	12.3	36.39	14.41	11.87	0.35	0.55	2.04	0.95	1.66	2.34	1.07	1.51	2.42	0.91	1.66	0.79	2.21	0.74	0.74	2.27	1.23	0.52	0.06	0.43	0.76	2.4	1.96

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	6.38	9.6	8.95	6.53	1.63	4.22	8.93	13.35	11.23	16.3	22.85	0.75	4.47	0.25	11.2	11.88	1.63	4.25	13.65	14.18	0.38	15.55	22.8	18.3	18.18	6.95	2.48	15.53	20.63	20.3

30.9	8.1	10.73	10.13	7.9	3.6	5.6	10.25	15.13	12.6	18.02	24.13	2.3	6.35	1.83	12.63	13.2	3.65	5.63	14.83	15.5	1.68	17.52	24.18	19.43	19.55	8.63	3.7	17.55	21.75	22.08


0	7	17	7	7	5	6	7	8	9	17	4	15	17	4	8	19	6	6	8	18	6	7	8	6	7	19	16	7	9	5
7	0	10	12	11	11	10	2	1	11	10	8	8	10	9	2	12	2	2	10	11	3	9	3	8	2	12	9	1	3	9
17	10	0	10	11	12	11	10	10	9	4	13	3	4	14	9	2	12	12	10	3	13	10	13	11	12	2	3	11	12	12
7	12	10	0	2	2	3	11	13	2	14	4	9	10	4	12	12	13	12	3	13	13	4	15	5	14	12	9	13	15	4
7	11	11	2	0	2	1	9	11	2	12	3	8	11	3	10	12	11	11	1	12	11	2	13	3	12	12	10	12	14	2
5	11	12	2	2	0	1	9	11	4	12	3	10	12	2	10	14	11	11	3	13	11	2	13	3	12	14	11	12	14	2
6	10	11	3	1	1	0	8	11	3	11	2	9	11	3	9	13	11	10	2	12	10	1	12	2	11	13	10	11	13	1
7	2	10	11	9	9	8	0	3	9	10	7	8	10	7	1	12	3	2	8	11	3	7	4	6	3	12	9	3	5	7
8	1	10	13	11	11	11	3	0	11	10	9	7	10	10	2	11	3	2	10	11	3	10	3	9	2	11	9	1	3	10
9	11	9	2	2	4	3	9	11	0	12	5	8	9	5	10	10	11	11	1	11	11	2	13	3	12	10	8	12	14	4
17	10	4	14	12	12	11	10	10	12	0	13	5	7	14	9	2	12	12	11	1	13	10	13	11	12	5	6	11	12	12
4	8	13	4	3	3	2	7	9	5	13	0	11	13	1	8	15	9	8	4	14	9	3	11	2	10	15	12	9	11	1
15	8	3	9	8	10	9	8	7	8	5	11	0	3	11	7	4	10	9	7	4	10	8	10	9	9	4	2	8	10	10
17	10	4	10	11	12	11	10	10	9	7	13	3	0	14	9	5	12	12	10	6	13	10	13	11	12	2	1	11	12	12
4	9	14	4	3	2	3	7	10	5	14	1	11	14	0	8	15	10	9	4	15	9	4	11	3	10	15	13	10	12	2
8	2	9	12	10	10	9	1	2	10	9	8	7	9	8	0	11	4	3	9	10	4	8	4	7	3	11	8	2	4	8
19	12	2	12	12	14	13	12	11	10	2	15	4	5	15	11	0	14	13	11	1	14	12	14	13	13	4	4	12	14	14
6	2	12	13	11	11	11	3	3	11	12	9	10	12	10	4	14	0	1	10	13	1	10	2	9	1	14	11	2	3	10
6	2	12	12	11	11	10	2	2	11	12	8	9	12	9	3	13	1	0	10	13	1	9	3	8	2	13	11	1	3	9
8	10	10	3	1	3	2	8	10	1	11	4	7	10	4	9	11	10	10	0	11	10	1	12	2	11	11	9	11	13	3
18	11	3	13	12	13	12	11	11	11	1	14	4	6	15	10	1	13	13	11	0	14	11	14	12	13	4	5	12	13	13
6	3	13	13	11	11	10	3	3	11	13	9	10	13	9	4	14	1	1	10	14	0	9	2	8	1	14	12	2	3	9
7	9	10	4	2	2	1	7	10	2	10	3	8	10	4	8	12	10	9	1	11	9	0	11	1	10	12	9	10	12	2
8	3	13	15	13	13	12	4	3	13	13	11	10	13	11	4	14	2	3	12	14	2	11	0	10	1	14	12	2	1	11
6	8	11	5	3	3	2	6	9	3	11	2	9	11	3	7	13	9	8	2	12	8	1	10	0	9	13	10	9	11	1
7	2	12	14	12	12	11	3	2	12	12	10	9	12	10	3	13	1	2	11	13	1	10	1	9	0	13	11	1	2	10
19	12	2	12	12	14	13	12	11	10	5	15	4	2	15	11	4	14	13	11	4	14	12	14	13	13	0	3	12	14	14
16	9	3	9	10	11	10	9	9	8	6	12	2	1	13	8	4	11	11	9	5	12	9	12	10	11	3	0	10	11	11
7	1	11	13	12	12	11	3	1	12	11	9	8	11	10	2	12	2	1	11	12	2	10	2	9	1	12	10	0	2	10
9	3	12	15	14	14	13	5	3	14	12	11	10	12	12	4	14	3	3	13	13	3	12	1	11	2	14	11	2	0	12
5	9	12	4	2	2	1	7	10	4	12	1	10	12	2	8	14	10	9	3	13	9	2	11	1	10	14	11	10	12	0




