11
8
8
19
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	19.42	40.88	49.06	43.1	4.19	16.89	11.81	15.89	2.46	1.37	1.87

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08

0	1.83	12.67	8.03	6.5	9.58	0.27	11.13	0.3	0.25	4.95	3.4

20.6	7.83	18.67	14.03	12.5	15.58	6.27	17.13	6.3	6.25	10.95	9.4

0	7	8	7	8	7	6	9	6	6	8	7
7	0	3	1	1	2	2	3	2	3	2	2
8	3	0	2	3	1	2	1	3	2	4	4
7	1	2	0	1	1	2	2	1	2	2	3
8	1	3	1	0	2	3	3	2	3	2	3
7	2	1	1	2	0	1	2	2	1	3	3
6	2	2	2	3	1	0	3	1	1	4	3
9	3	1	2	3	2	3	0	3	3	4	5
6	2	3	1	2	2	1	3	0	1	3	2
6	3	2	2	3	1	1	3	1	0	4	3
8	2	4	2	2	3	4	4	3	4	0	1
7	2	4	3	3	3	3	5	2	3	1	0


