40
30
30
70
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	17.39	22.3	2.71	8.86	33.14	16.54	44.92	5.91	49.42	27	35.35	49.97	14.39	20.73	23.24	38.2	40.91	5.01	8.91	17.98	2.84	26.09	16.79	8.78	10.45	45.26	33.77	23.42	45.61	5.2	1.86	1.84	1.4	0.46	1.49	0.75	0.34	0.53	2.24	0.18

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	4.22	15.53	22.8	11.98	13.65	0.75	9.6	6.38	16.3	6.53	1.63	13.35	2.48	18.77	1.63	6.6	2.17	6.95	0.78	14.18	16.63	7.08	8.95	4.47	20.3	9.57	15.55	0.38	18.3	11.2	11.23	18.18	11.88	5	20.63	14.18	22.85	0.25	4.25	8.93

30.9	5.6	17.55	24.18	13.05	14.83	2.3	10.73	8.1	18.02	7.9	3.65	15.13	3.7	20.4	3.6	8.03	3.95	8.63	2.5	15.6	17.9	8.6	10.13	6.35	22.08	10.85	17.52	1.68	19.43	12.63	12.6	19.55	13.2	5.93	21.75	15.5	24.13	1.83	5.63	10.25


0	6	7	8	17	8	15	17	7	17	7	6	8	16	13	5	9	14	19	14	15	14	17	7	17	5	16	7	6	6	8	9	7	19	15	9	18	4	4	6	7
6	0	11	12	13	2	9	11	10	11	1	11	11	10	8	1	11	10	13	9	11	9	13	3	11	1	12	1	10	2	9	3	11	13	11	13	12	2	3	10	8
7	11	0	2	23	11	8	11	1	11	12	2	1	10	19	12	15	21	12	20	22	20	23	13	11	10	23	10	2	9	2	12	1	12	22	2	12	9	10	1	3
8	12	2	0	25	12	10	13	3	13	13	2	3	12	20	13	16	22	14	21	23	21	25	15	13	11	24	11	2	10	4	13	1	14	23	1	14	11	11	3	4
17	13	23	25	0	13	19	20	22	24	12	23	23	18	5	12	15	3	19	4	2	4	4	10	17	14	1	14	23	15	22	12	24	22	5	25	23	14	14	22	21
8	2	11	12	13	0	7	10	10	11	1	10	10	9	9	3	13	10	11	10	11	10	13	3	10	3	12	1	10	2	9	1	11	11	11	13	11	4	4	10	8
15	9	8	10	19	7	0	3	8	5	8	10	7	2	15	10	20	17	4	16	18	16	19	9	3	10	19	8	10	9	7	8	9	4	18	10	4	11	11	9	8
17	11	11	13	20	10	3	0	10	4	11	12	10	3	16	12	22	18	2	17	19	17	20	10	4	12	20	10	13	11	9	9	12	2	19	12	3	13	14	12	10
7	10	1	3	22	10	8	10	0	10	11	2	1	9	18	11	14	20	12	19	21	19	22	12	10	9	22	9	3	8	2	11	2	12	21	3	11	8	9	2	2
17	11	11	13	24	11	5	4	10	0	12	12	10	6	19	12	22	21	5	20	22	20	24	14	7	12	23	10	13	11	9	12	12	2	22	12	1	13	14	12	10
7	1	12	13	12	1	8	11	11	12	0	11	11	10	8	2	12	9	12	9	10	9	12	2	11	2	11	2	11	3	10	2	12	12	10	14	12	3	3	11	9
6	11	2	2	23	10	10	12	2	12	11	0	3	11	19	11	15	20	14	20	21	20	23	13	12	10	22	10	1	9	4	11	1	14	21	3	13	9	10	1	3
8	11	1	3	23	10	7	10	1	10	11	3	0	9	19	11	15	20	11	20	21	20	23	13	10	10	22	10	3	9	2	11	2	11	21	3	11	9	10	2	3
16	10	10	12	18	9	2	3	9	6	10	11	9	0	14	11	21	15	3	15	16	15	18	9	1	11	17	9	12	10	8	8	11	4	16	11	5	12	13	11	9
13	8	19	20	5	9	15	16	18	19	8	19	19	14	0	8	14	2	14	3	3	1	5	6	13	9	4	9	18	10	17	8	19	18	4	21	18	10	9	18	16
5	1	12	13	12	3	10	12	11	12	2	11	11	11	8	0	10	9	14	9	10	9	12	2	12	2	11	2	11	3	10	4	12	14	10	14	13	3	2	11	9
9	11	15	16	15	13	20	22	14	22	12	15	15	21	14	10	0	13	24	12	17	15	12	12	22	10	15	12	14	11	13	14	15	24	10	17	23	9	9	14	12
14	10	21	22	3	10	17	18	20	21	9	20	20	15	2	9	13	0	16	1	5	3	3	8	14	11	2	11	20	12	19	9	21	19	3	23	20	12	11	20	18
19	13	12	14	19	11	4	2	12	5	12	14	11	3	14	14	24	16	0	15	17	15	19	12	2	14	18	12	14	13	11	10	13	4	17	14	4	15	15	13	12
14	9	20	21	4	10	16	17	19	20	9	20	20	15	3	9	12	1	15	0	5	4	4	7	14	10	3	10	19	11	18	9	20	19	2	22	19	11	10	19	17
15	11	22	23	2	11	18	19	21	22	10	21	21	16	3	10	17	5	17	5	0	2	5	9	15	12	3	12	21	13	20	10	22	20	7	24	21	13	12	21	19
14	9	20	21	4	10	16	17	19	20	9	20	20	15	1	9	15	3	15	4	2	0	4	7	14	10	3	10	19	11	18	9	20	19	5	22	19	11	10	19	17
17	13	23	25	4	13	19	20	22	24	12	23	23	18	5	12	12	3	19	4	5	4	0	10	17	14	3	14	23	15	22	12	24	22	2	25	23	14	14	22	21
7	3	13	15	10	3	9	10	12	14	2	13	13	9	6	2	12	8	12	7	9	7	10	0	10	4	10	4	13	5	12	2	14	12	9	15	13	4	4	12	11
