15
7
7
22
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	23.05	38.51	16.12	39.24	23.57	1.79	8.79	1.8	1.18	0.38	0.85	1.52	0.48	1.85	0.61

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	3.3	5.63	0.33	1.22	0.18	8.44	2.52	5.36	6.39	7.42	0.17	2.27	4.33	0.2	4.6

13.73	7.3	9.63	4.33	5.22	4.18	12.44	6.52	9.36	10.39	11.42	4.17	6.27	8.33	4.2	8.6



0	8	17	15	7	6	8	17	7	7	9	6	7	8	6	18
8	0	9	7	2	4	4	9	2	3	4	4	1	2	3	10
17	9	0	5	10	12	13	4	11	12	12	13	10	10	12	1
15	7	5	0	8	10	10	3	8	9	10	10	8	7	9	4
7	2	10	8	0	2	3	10	1	2	3	3	2	1	2	11
6	4	12	10	2	0	2	12	2	1	3	1	3	3	1	13
8	4	13	10	3	2	0	13	2	1	1	2	4	3	3	14
17	9	4	3	10	12	13	0	11	12	12	13	10	10	12	3
7	2	11	8	1	2	2	11	0	1	2	2	3	1	1	12
7	3	12	9	2	1	1	12	1	0	2	1	3	2	2	13
9	4	12	10	3	3	1	12	2	2	0	3	5	3	3	13
6	4	13	10	3	1	2	13	2	1	3	0	3	3	1	14
7	1	10	8	2	3	4	10	3	3	5	3	0	3	2	11
8	2	10	7	1	3	3	10	1	2	3	3	3	0	2	11
6	3	12	9	2	1	3	12	1	2	3	1	2	2	0	13
18	10	1	4	11	13	14	3	12	13	13	14	11	11	13	0








