25
12
12
37
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	38.46	19.84	40.43	37.75	18.87	10.8	39.52	47.47	16.38	33.56	21.93	41.68	1.92	0.42	2.15	2.47	1.29	2.21	1.47	0.39	0.5	1.02	1.87	2.06	1.97


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08



0	31.8	15	19.4	19.8	12.2	31.4	12.6	12.4	17.4	6.4	15.2	13.6	25.2	13.4	23.2	29.8	6.8	24.8	19	32.2	34.4	19.4	16.2	30.6	10
247.2	33.8	17	21.4	21.8	14.2	33.4	14.6	14.4	19.4	8.4	17.2	15.6	27.2	15.4	25.2	31.8	8.8	26.8	21	34.2	36.4	21.4	18.2	32.6	12


0	12	20	15	12	19	19	9	12	10	22	12	20	7	12	7	15	15	7	13	1	19	9	7	14	13
12	0	9	10	4	7	10	10	7	9	10	17	15	19	17	15	10	7	12	13	12	14	20	12	15	5
20	9	0	15	9	12	5	19	12	10	5	15	20	27	19	24	15	5	20	8	20	19	29	14	24	10
15	10	15	0	14	7	20	10	4	19	10	27	5	19	27	15	7	17	22	23	15	10	20	22	15	6
12	4	9	14	0	10	7	10	10	5	10	14	19	19	14	15	14	4	12	10	12	17	20	9	15	8
19	7	12	7	10	0	17	17	10	15	7	24	9	25	24	22	14	14	19	20	19	17	27	19	22	6
19	10	5	20	7	17	0	17	17	9	10	14	25	25	17	22	20	4	19	6	19	24	27	12	22	15
9	10	19	10	10	17	17	0	7	12	20	20	12	12	20	5	7	14	15	16	8	10	10	15	5	11
12	7	12	4	10	10	17	7	0	15	14	24	9	15	24	12	4	14	19	20	11	7	17	19	12	5
10	9	10	19	5	15	9	12	15	0	12	9	24	17	9	14	19	5	10	5	10	22	19	4	17	13
22	10	5	10	10	7	10	20	14	12	0	17	15	29	20	25	17	7	22	13	22	20	30	15	25	9
12	17	15	27	14	24	14	20	24	9	17	0	32	12	4	19	27	10	5	8	13	30	14	5	25	21
20	15	20	5	19	9	25	12	9	24	15	32	0	24	32	14	5	22	27	28	20	9	19	27	14	11
7	19	27	19	19	25	25	12	15	17	29	12	24	0	9	10	19	22	7	19	7	22	5	14	17	20
12	17	19	27	14	24	17	20	24	9	20	4	32	9	0	19	27	14	5	11	13	30	14	5	25	21
7	15	24	15	15	22	22	5	12	14	25	19	14	10	19	0	9	19	14	16	6	12	5	14	7	16
15	10	15	7	14	14	20	7	4	19	17	27	5	19	27	9	0	17	22	23	15	4	14	22	9	8
15	7	5	17	4	14	4	14	14	5	7	10	22	22	14	19	17	0	15	6	15	20	24	9	19	11
7	12	20	22	12	19	19	15	19	10	22	5	27	7	5	14	22	15	0	13	8	25	9	7	20	16
13	13	8	23	10	20	6	16	20	5	13	8	28	19	11	16	23	6	13	0	13	26	21	6	21	17
1	12	20	15	12	19	19	8	11	10	22	13	20	7	13	6	15	15	8	13	0	18	9	8	13	13
19	14	19	10	17	17	24	10	7	22	20	30	9	22	30	12	4	20	25	26	18	0	17	25	5	11
9	20	29	20	20	27	27	10	17	19	30	14	19	5	14	5	14	24	9	21	9	17	0	15	12	21
7	12	14	22	9	19	12	15	19	4	15	5	27	14	5	14	22	9	7	6	8	25	15	0	20	16
14	15	24	15	15	22	22	5	12	17	25	25	14	17	25	7	9	19	20	21	13	5	12	20	0	16
13	5	10	6	8	6	15	11	5	13	9	21	11	20	21	16	8	11	16	17	13	11	21	16	16	0
