14
3
3
17
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	21.26	15.64	8.07	0.45	1.06	0.24	1.5	1.18	1.74	1.75	1.6	0.08	0.17	0.8

0	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	3.3	6.39	5.36	0.33	4.33	4.6	1.22	0.18	5.63	8.44	0.2	2.27	7.42	0.17

13.73	7.3	10.39	9.36	4.33	8.33	8.6	5.22	4.18	9.63	12.44	4.2	6.27	11.42	4.17

0	8	7	7	15	8	18	7	6	17	8	6	7	9	6
8	0	3	2	7	2	10	2	4	9	4	3	1	4	4
7	3	0	1	9	2	13	2	1	12	1	2	3	2	1
7	2	1	0	8	1	12	1	2	11	2	1	3	2	2
15	7	9	8	0	7	4	8	10	5	10	9	8	10	10
8	2	2	1	7	0	11	1	3	10	3	2	3	3	3
18	10	13	12	4	11	0	11	13	1	14	13	11	13	14
7	2	2	1	8	1	11	0	2	10	3	2	2	3	3
6	4	1	2	10	3	13	2	0	12	2	1	3	3	1
17	9	12	11	5	10	1	10	12	0	13	12	10	12	13
8	4	1	2	10	3	14	3	2	13	0	3	4	1	2
6	3	2	1	9	2	13	2	1	12	3	0	2	3	1
7	1	3	3	8	3	11	2	3	10	4	2	0	5	3
9	4	2	2	10	3	13	3	3	12	1	3	5	0	3
6	4	1	2	10	3	14	3	1	13	2	1	3	3	0






