24
18
18
42
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	37.83	20.7	24.62	34.74	48.64	16.39	41.89	36.95	47.71	1.6	17.84	33.13	14.08	11.52	35.56	31.23	29.53	33.02	0.12	0.87	1.13	0.6	1.79	2.14

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08

0	0.33	24.4	2.17	18.9	1	5.67	30.4	30.47	27.07	0.5	24.23	21.73	27.5	8.5	11.9	15.83	2.17	17.8	14.93	12.8	5.97	3.3	20.7	9.27

41.2	2.43	25.9	4.8	20.67	3.07	7.5	32.23	32.17	29.43	2.23	26.07	24.03	29	10.8	13.67	17.6	4.87	20.17	16.83	14.3	8.47	4.93	23.4	11.5


0	4	6	5	18	15	6	8	4	5	6	7	17	9	7	7	19	6	8	8	17	17	16	7	19
4	0	3	2	15	11	9	11	1	2	9	10	14	12	9	7	15	10	10	8	14	14	13	10	15
6	3	0	3	12	9	8	10	2	1	8	9	11	11	8	6	13	9	9	7	11	11	10	9	13
5	2	3	0	13	10	11	13	3	2	11	12	12	14	11	9	14	11	11	10	12	12	11	12	14
18	15	12	13	0	4	13	14	14	13	14	13	1	13	11	11	1	13	11	10	3	6	5	12	4
15	11	9	10	4	0	9	10	11	10	10	9	5	10	8	8	4	10	7	7	3	3	2	8	4
6	9	8	11	13	9	0	3	8	9	1	2	12	3	2	2	13	1	2	3	12	12	11	1	13
8	11	10	13	14	10	3	0	11	11	2	1	13	1	3	4	14	2	3	4	13	13	12	2	14
4	1	2	3	14	11	8	11	0	1	9	10	13	11	8	7	15	9	9	8	13	13	12	9	15
5	2	1	2	13	10	9	11	1	0	9	10	12	12	9	7	14	10	10	8	12	12	11	10	14
6	9	8	11	14	10	1	2	9	9	0	1	13	3	3	3	14	1	3	4	13	13	12	2	14
7	10	9	12	13	9	2	1	10	10	1	0	12	2	2	3	13	1	2	3	12	12	11	1	13
17	14	11	12	1	5	12	13	13	12	13	12	0	12	10	10	2	12	10	9	4	7	6	11	5
9	12	11	14	13	10	3	1	11	12	3	2	12	0	3	5	14	3	3	4	12	12	11	2	14
7	9	8	11	11	8	2	3	8	9	3	2	10	3	0	2	12	2	1	2	10	10	9	1	12
7	7	6	9	11	8	2	4	7	7	3	3	10	5	2	0	12	3	3	1	10	10	9	3	12
19	15	13	14	1	4	13	14	15	14	14	13	2	14	12	12	0	14	11	11	2	5	4	12	4
6	10	9	11	13	10	1	2	9	10	1	1	12	3	2	3	14	0	3	4	12	12	11	2	14
8	10	9	11	11	7	2	3	9	10	3	2	10	3	1	3	11	3	0	2	10	10	9	1	11
8	8	7	10	10	7	3	4	8	8	4	3	9	4	2	1	11	4	2	0	9	9	8	2	11
17	14	11	12	3	3	12	13	13	12	13	12	4	12	10	10	2	12	10	9	0	4	3	11	2
17	14	11	12	6	3	12	13	13	12	13	12	7	12	10	10	5	12	10	9	4	0	1	11	2
16	13	10	11	5	2	11	12	12	11	12	11	6	11	9	9	4	11	9	8	3	1	0	10	3
7	10	9	12	12	8	1	2	9	10	2	1	11	2	1	3	12	2	1	2	11	11	10	0	12
19	15	13	14	4	4	13	14	15	14	14	13	5	14	12	12	4	14	11	11	2	2	3	12	0





