12
9
9
21
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	39.91	39.78	39.05	17.55	2.71	35.44	49.65	8.12	5.68	2.28	1.2	2.13

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08

0	0.25	6.5	8.45	3.4	0.27	0.3	4.95	12.67	1.83	11.13	9.58	8.03

20.6	6.25	12.5	14.45	9.4	6.27	6.3	10.95	18.67	7.83	17.13	15.58	14.03

0	6	8	17	7	6	6	8	8	7	9	7	7
6	0	3	13	3	1	1	4	2	3	3	1	2
8	3	0	10	3	3	2	2	3	1	3	2	1
17	13	10	0	10	12	12	9	13	10	12	12	11
7	3	3	10	0	3	2	1	4	2	5	3	3
6	1	3	12	3	0	1	4	2	2	3	1	2
6	1	2	12	2	1	0	3	3	2	3	2	1
8	4	2	9	1	4	3	0	4	2	4	3	2
8	2	3	13	4	2	3	4	0	3	1	1	2
7	3	1	10	2	2	2	2	3	0	3	2	1
9	3	3	12	5	3	3	4	1	3	0	2	2
7	1	2	12	3	1	2	3	1	2	2	0	1
7	2	1	11	3	2	1	2	2	1	2	1	0


