16
12
12
28
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	26.12	49.69	10.93	5.29	5.48	3.18	20.23	22.42	18.29	38.18	31.39	38.6	2.33	2.43	0.48	0.35

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08


0	3.3	0.2	5.36	2.27	0.18	6.39	0.33	1.22	8.44	4.33	3.58	0.17	2.52	7.42	5.63	4.6

13.73	7.3	4.2	9.36	6.27	4.18	10.39	4.33	5.22	12.44	8.33	7.58	4.17	6.52	11.42	9.63	8.6


0	8	6	7	7	6	7	15	7	8	8	19	6	17	9	17	18
8	0	3	2	1	4	3	7	2	4	2	11	4	9	4	9	10
6	3	0	1	2	1	2	9	2	3	2	13	1	12	3	12	13
7	2	1	0	3	2	1	8	1	2	1	12	2	11	2	11	12
7	1	2	3	0	3	3	8	2	4	3	12	3	10	5	10	11
6	4	1	2	3	0	1	10	2	2	3	14	1	12	3	12	13
7	3	2	1	3	1	0	9	2	1	2	13	1	12	2	12	13
15	7	9	8	8	10	9	0	8	10	7	4	10	3	10	5	4
7	2	2	1	2	2	2	8	0	3	1	12	3	10	3	10	11
8	4	3	2	4	2	1	10	3	0	3	14	2	13	1	13	14
8	2	2	1	3	3	2	7	1	3	0	11	3	10	3	10	11
19	11	13	12	12	14	13	4	12	14	11	0	14	2	14	2	1
6	4	1	2	3	1	1	10	3	2	3	14	0	13	3	13	14
17	9	12	11	10	12	12	3	10	13	10	2	13	0	12	4	3
9	4	3	2	5	3	2	10	3	1	3	14	3	12	0	12	13
17	9	12	11	10	12	12	5	10	13	10	2	13	4	12	0	1
18	10	13	12	11	13	13	4	11	14	11	1	14	3	13	1	0








