50
12
12
62
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	40.74	45.29	6.35	45.67	31.62	4.88	13.92	27.34	47.88	48.24	7.88	48.53	2.39	1.21	2	0.35	1.05	2.29	1.98	2.4	1.64	0.09	2.12	2.33	1.7	1.89	1.86	0.98	1.64	0.43	1.77	0.08	0.69	0.12	0.24	2.06	1.74	0.79	2.38	0.09	1.1	0.95	1.91	1.99	0.47	1.22	1.11	1.62	1.77	1.89

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	11.98	9.57	8.98	18.3	0.78	22.85	9.6	7.08	4.22	13.53	11.88	4.25	25.03	1.7	4.15	0.38	11.2	4.47	6.95	18.18	6.53	8.93	1.63	13.65	20.3	16.3	0.25	22.8	16.63	20.38	6.38	15.55	5	14.18	15.8	11.23	15.53	0.75	0.4	2.48	18.77	6.6	26.35	2.17	13.35	8.95	1.63	20.63	14.18	11.2

30.9	13.05	10.85	10.3	19.43	2.5	24.13	10.73	8.6	5.6	15	13.2	5.63	26.65	3.73	5.88	1.68	12.73	6.35	8.63	19.55	7.9	10.25	3.6	14.83	22.08	18.02	1.83	24.18	17.9	22	8.1	17.52	5.93	15.6	17.33	12.6	17.55	2.3	2	3.7	20.4	8.03	28.18	3.95	15.13	10.13	3.65	21.75	15.5	12.63


0	17	16	10	6	14	4	17	17	6	10	19	6	9	9	8	6	10	17	19	7	7	7	5	8	5	17	4	8	14	11	7	7	15	15	11	9	7	15	8	16	13	9	9	14	8	7	6	9	18	8
17	0	1	14	15	4	14	20	4	13	14	22	22	11	14	15	23	13	17	19	24	12	21	12	13	14	24	14	25	4	12	22	14	5	2	13	12	23	19	13	18	5	15	12	3	23	10	23	25	23	22
