12
3
3
15
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	1.18	30.37	5.54	1.02	2.21	1.37	0.92	0.52	1.1	2.39	0.31	1.18

0	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	10.2	5.5	28.75	33.4	24.1	14.85	0.75	19.5	0.9	0.8	25.35	38

61.8	28.2	23.5	46.75	51.4	42.1	32.85	18.75	37.5	18.9	18.8	43.35	56


0	7	7	7	9	7	8	6	8	6	6	17	8
7	0	2	3	5	3	1	3	3	2	3	10	4
7	2	0	2	3	1	2	3	1	2	2	10	3
7	3	2	0	2	1	3	1	2	2	1	12	1
9	5	3	2	0	2	4	3	3	3	3	12	1
7	3	1	1	2	0	2	2	1	1	2	11	2
8	1	2	3	4	2	0	4	2	3	4	9	4
6	3	3	1	3	2	4	0	3	1	1	13	2
8	3	1	2	3	1	2	3	0	2	3	10	3
6	2	2	2	3	1	3	1	2	0	1	12	3
6	3	2	1	3	2	4	1	3	1	0	12	2
17	10	10	12	12	11	9	13	10	12	12	0	13
8	4	3	1	1	2	4	2	3	3	2	13	0

