13
10
10
23
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	30.15	13.27	43.24	2.91	22.89	36.11	16.95	20.06	26.35	44.71	1.95	0.17	0.7

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08

0	19.6	15.2	4	21.4	8.4	14.8	4.4	12.2	7.6	15	26.2	24.6	26.6

247.2	28.6	26.2	18.6	30	20.2	25.8	17.4	22	19.4	24.8	39.2	36.8	39.6


0	7	12	15	7	12	9	13	7	9	13	12	15	1
7	0	15	19	14	19	5	16	14	5	16	15	9	6
12	15	0	4	12	14	20	8	9	10	10	4	14	12
15	19	4	0	15	14	24	11	9	14	6	7	17	15
7	14	12	15	0	5	9	16	7	15	13	12	22	8
12	19	14	14	5	0	14	21	5	20	11	17	27	13
9	5	20	24	9	14	0	21	15	10	21	20	14	9
13	16	8	11	16	21	21	0	16	11	17	5	8	13
7	14	9	9	7	5	15	16	0	15	6	12	22	8
9	5	10	14	15	20	10	11	15	0	16	10	7	8
13	16	10	6	13	11	21	17	6	16	0	13	23	13
12	15	4	7	12	17	20	5	12	10	13	0	10	12
15	9	14	17	22	27	14	8	22	7	23	10	0	15
1	6	12	15	8	13	9	13	8	8	13	12	15	0



