15
4
4
19
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	22.35	29.38	43.88	23.46	1.09	1.87	1.17	2.15	1.17	1.25	1.22	0.57	0.21	0.17	2.22

0	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	29.8	24.8	6.8	19	12.6	19.8	6.4	32.2	16.2	13.4	12.2	31.8	19.4	23.2	10

247.2	31.8	26.8	8.8	21	14.6	21.8	8.4	34.2	18.2	15.4	14.2	33.8	21.4	25.2	12

0	15	7	15	13	9	12	22	1	7	12	19	12	9	7	13
15	0	22	17	23	7	14	17	15	22	27	14	10	14	9	8
7	22	0	15	13	15	12	22	8	7	5	19	12	9	14	16
15	17	15	0	6	14	4	7	15	9	14	14	7	24	19	11
13	23	13	6	0	16	10	13	13	6	11	20	13	21	16	17
9	7	15	14	16	0	10	20	8	15	20	17	10	10	5	11
12	14	12	4	10	10	0	10	12	9	14	10	4	20	15	8
22	17	22	7	13	20	10	0	22	15	20	7	10	30	25	9
1	15	8	15	13	8	12	22	0	8	13	19	12	9	6	13
7	22	7	9	6	15	9	15	8	0	5	19	12	15	14	16
12	27	5	14	11	20	14	20	13	5	0	24	17	14	19	21
19	14	19	14	20	17	10	7	19	19	24	0	7	27	22	6
12	10	12	7	13	10	4	10	12	12	17	7	0	20	15	5
9	14	9	24	21	10	20	30	9	15	14	27	20	0	5	21
7	9	14	19	16	5	15	25	6	14	19	22	15	5	0	16
13	8	16	11	17	11	8	9	13	16	21	6	5	21	16	0
