21
10
10
31
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	5.63	22.19	15.01	20.07	41.67	20.18	19.51	18.02	7.01	13.01	0.22	1.07	0.64	0.74	1.06	0.3	1.24	1.77	0.61	1.96	0.19

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	31.4	16.2	12.2	32.2	15.2	6.4	15	24.8	13.4	12.6	29.8	10	12.4	17.4	19.4	19.8	25.2	19	6.8	23.2	31.8

247.2	33.4	18.2	14.2	34.2	17.2	8.4	17	26.8	15.4	14.6	31.8	12	14.4	19.4	21.4	21.8	27.2	21	8.8	25.2	33.8

0	19	7	19	1	12	22	20	7	12	9	15	13	12	10	9	12	7	13	15	7	12
19	0	12	17	19	14	10	5	19	17	17	20	15	17	9	27	7	25	6	4	22	10
7	12	0	19	8	5	15	14	7	5	15	22	16	19	4	15	9	14	6	9	14	12
19	17	19	0	19	24	7	12	19	24	17	14	6	10	15	27	10	25	20	14	22	7
1	19	8	19	0	13	22	20	8	13	8	15	13	11	10	9	12	7	13	15	6	12
12	14	5	24	13	0	17	15	5	4	20	27	21	24	9	14	14	12	8	10	19	17
22	10	15	7	22	17	0	5	22	20	20	17	9	14	12	30	10	29	13	7	25	10
20	5	14	12	20	15	5	0	20	19	19	15	10	12	10	29	9	27	8	5	24	9
7	19	7	19	8	5	22	20	0	5	15	22	16	19	10	9	12	7	13	15	14	12
12	17	5	24	13	4	20	19	5	0	20	27	21	24	9	14	14	9	11	14	19	17
9	17	15	17	8	20	20	19	15	20	0	7	11	7	12	10	10	12	16	14	5	10
15	20	22	14	15	27	17	15	22	27	7	0	8	4	19	14	14	19	23	17	9	10
13	15	16	6	13	21	9	10	16	21	11	8	0	5	13	21	8	20	17	11	16	5
12	17	19	10	11	24	14	12	19	24	7	4	5	0	15	17	10	15	20	14	12	7
10	9	4	15	10	9	12	10	10	9	12	19	13	15	0	19	5	17	5	5	14	9
9	27	15	27	9	14	30	29	9	14	10	14	21	17	19	0	20	5	21	24	5	20
12	7	9	10	12	14	10	9	12	14	10	14	8	10	5	20	0	19	10	4	15	4
7	25	14	25	7	12	29	27	7	9	12	19	20	15	17	5	19	0	19	22	10	19
13	6	6	20	13	8	13	8	13	11	16	23	17	20	5	21	10	19	0	6	16	13
15	4	9	14	15	10	7	5	15	14	14	17	11	14	5	24	4	22	6	0	19	7
7	22	14	22	6	19	25	24	14	19	5	9	16	12	14	5	15	10	16	19	0	15
12	10	12	7	12	17	10	9	12	17	10	10	5	7	9	20	4	19	13	7	15	0






