11
5
5
16
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	41.44	16.12	48.81	13.91	3.64	1.88	2.08	2.31	0.82	2.01	1.35

0	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08

0	1	1.1	3.7	4.9	5.35	6.15	3.8	3.75	3.05	6.65	2.1

11.5	4.65	4.35	6.45	7.15	7.5	9.2	6.55	6.2	5.5	9.9	5.05


0	15	13	9	7	7	15	12	13	7	1	12
15	0	11	24	19	15	17	4	6	9	15	14
13	11	0	21	16	16	8	8	17	16	13	21
9	24	21	0	5	9	14	20	21	15	9	14
7	19	16	5	0	14	9	15	16	14	6	19
7	15	16	9	14	0	22	12	13	7	8	5
15	17	8	14	9	22	0	14	23	22	15	27
12	4	8	20	15	12	14	0	10	9	12	14
13	6	17	21	16	13	23	10	0	6	13	11
7	9	16	15	14	7	22	9	6	0	8	5
1	15	13	9	6	8	15	12	13	8	0	13
12	14	21	14	19	5	27	14	11	5	13	0

