50
25
25
75
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	18.24	31.83	44.56	12.68	14.32	6.27	26.43	41.04	14.99	39.38	21.85	27.53	49.31	34.49	48.51	4.8	44.9	2.92	6.17	31.54	18.51	15.98	39.78	15.09	30.37	1.15	0.73	2.08	1.43	0.18	0.67	0.43	1.4	0.51	1.23	1.82	2.39	1.91	0.2	2.35	2.44	1.52	2.39	0.83	2.25	0	1.21	0.37	0.79	0.43


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08


0	0.8	31.6	50.05	45.6	3.4	31.1	41.25	23.95	8.3	40.6	17.85	45.7	22.4	13.05	17.9	4.35	27.05	13.2	27.3	19.2	19.15	17.95	23.75	26.7	4.95	14.15	22.4	12.75	32.6	8.45	0.75	36.35	1.55	31.05	8.5	37.55	1.5	52.7	0.5	36.6	28.35	33.25	13.9	40.75	8.95	10	3.25	28.35	22.45	3.25


61.8	4	34.65	53.3	48.35	7.45	35.05	43.5	26.1	11.75	44.15	20.5	48.25	25.25	15.8	20.25	7.9	30	16.05	29.65	21.45	21.7	20.6	26.4	30.25	7.4	17.2	25.45	16.2	36.05	11.2	3.35	39.1	5	35.1	11.25	40.8	4.6	56.35	3.65	38.85	31	35.8	17.25	44	12.7	11.85	7.3	31.2	25.2	7.2



0	8	11	9	8	9	7	9	17	8	5	7	4	8	7	7	14	10	9	8	17	16	10	19	8	16	17	10	7	17	6	6	7	14	7	6	13	15	9	4	6	18	14	19	11	17	15	6	15	9	5
8	0	4	2	15	1	10	16	13	2	8	11	7	12	9	10	10	3	3	10	20	12	2	21	14	19	10	2	13	20	9	13	14	10	14	13	12	17	1	6	9	21	13	21	4	20	8	14	15	11	8
11	4	0	2	19	3	10	19	13	3	8	15	8	16	9	10	10	1	3	10	20	12	2	21	17	19	10	2	16	20	9	17	18	10	17	16	12	17	3	8	9	21	13	21	2	20	8	17	15	11	8
9	2	2	0	17	3	8	18	11	4	6	13	7	14	8	8	9	3	4	9	18	11	3	20	15	17	8	2	15	18	7	15	16	8	16	15	10	16	1	6	7	19	11	20	2	18	6	15	13	10	6
8	15	19	17	0	16	11	1	25	16	11	4	11	4	13	15	22	18	16	12	13	24	17	14	3	12	25	17	3	13	12	2	1	21	2	3	20	10	16	11	10	14	21	14	19	13	23	2	23	13	13
9	1	3	3	16	0	11	17	14	1	9	12	8	13	10	11	11	2	2	11	21	13	1	22	15	20	11	1	14	21	10	14	15	11	15	14	13	18	2	7	10	22	14	22	3	21	9	15	16	12	9
7	10	10	8	11	11	0	12	14	11	2	7	3	8	2	4	11	10	12	1	10	13	11	12	10	9	14	10	9	10	1	9	10	10	10	9	9	8	9	4	1	11	10	12	8	10	12	10	12	2	2
9	16	19	18	1	17	12	0	25	16	12	5	11	4	14	15	23	19	17	13	12	25	18	14	3	11	25	18	3	12	13	3	2	22	2	3	21	10	17	12	11	13	22	14	19	12	24	3	24	14	14
17	13	13	11	25	14	14	25	0	15	14	21	14	22	12	10	3	14	15	13	20	1	14	22	23	18	4	13	22	24	13	23	24	4	23	22	5	19	12	14	15	23	4	19	12	17	5	23	2	12	12
8	2	3	4	16	1	11	16	15	0	9	12	9	13	11	11	12	3	1	12	21	14	2	23	14	20	11	2	13	21	10	14	15	11	14	13	14	19	3	8	10	22	15	23	3	21	10	14	16	13	10
