17
8
8
25
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	5.39	9.11	4.95	24.49	9.66	44.79	4.95	2.21	1.39	1.93	0.78	0.45	0.85	0.53	1.28	2.27	1.57

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	9.6	13.35	0	0	0	18.18	15.53	0	0	11.88	11.2	8.93	0	2.48	6.38	14.18	0.75

30.9	10.73	15.13	28.18	27.68	28.25	19.55	17.55	28.13	28.25	13.2	12.63	10.25	28.23	3.7	8.1	15.5	2.3


0	17	8	8	17	6	7	7	9	6	19	8	7	6	16	7	18	15
17	0	10	13	4	13	12	11	12	12	2	9	10	12	3	10	3	3
8	10	0	3	10	3	2	1	3	2	11	2	3	3	9	1	11	7
8	13	3	0	13	2	1	2	1	3	14	4	4	2	12	3	14	10
17	4	10	13	0	13	12	11	12	12	2	9	10	12	6	10	1	5
6	13	3	2	13	0	1	2	3	1	14	4	3	1	12	3	14	10
7	12	2	1	12	1	0	1	2	2	13	3	3	1	11	2	13	9
7	11	1	2	11	2	1	0	2	1	12	2	3	2	10	1	12	8
9	12	3	1	12	3	2	2	0	3	14	4	5	3	11	3	13	10
6	12	2	3	12	1	2	1	3	0	13	3	2	1	11	2	13	9
19	2	11	14	2	14	13	12	14	13	0	11	12	14	4	12	1	4
8	9	2	4	9	4	3	2	4	3	11	0	1	4	8	2	10	7
7	10	3	4	10	3	3	3	5	2	12	1	0	3	9	2	11	8
6	12	3	2	12	1	1	2	3	1	14	4	3	0	11	2	13	10
16	3	9	12	6	12	11	10	11	11	4	8	9	11	0	9	5	2
7	10	1	3	10	3	2	1	3	2	12	2	2	2	9	0	11	8
18	3	11	14	1	14	13	12	13	13	1	10	11	13	5	11	0	4
15	3	7	10	5	10	9	8	10	9	4	7	8	10	2	8	4	0






