45
34
34
79
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	12.9	1.85	48.72	36.32	7.4	7.39	35.24	19.05	3.82	20.54	7.15	39.95	46.51	0.24	32.5	33.93	12.68	42.16	14.7	1.34	4.67	39.89	35.57	39.17	31.2	41.27	1.75	20.27	12.48	24.04	44.04	14.03	29.96	1.31	0.39	2.08	0.49	2.07	0.85	1.68	0.13	1.84	1.25	2.36	0.72

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	8.5	5.63	5.53	30.4	11.93	12.77	0.33	24.23	1	24.4	2.9	5.67	11.97	2.17	21.73	9.27	18.03	9.43	12.8	14.97	6.67	20.7	18.2	17.8	20.73	0.53	11.9	8.7	5.97	8.8	18.9	15.83	22.17	2.17	15.97	0.5	3.3	27.5	1.03	30.47	18.9	27.07	14.93	2.27	25.03

41.2	10.8	7.47	7.83	32.23	13.5	14.47	2.43	26.07	3.07	25.9	5.27	7.5	13.73	4.8	24.03	11.5	20	11.47	14.3	16.8	7.9	23.4	19.77	20.17	23.37	2.67	13.67	10.53	8.47	10.7	20.8	17.6	23.87	4.87	17.4	2.23	4.93	29	3.33	32.17	20.67	29.43	16.83	4.97	27.2



0	7	6	8	8	7	16	4	7	15	6	14	6	10	5	17	19	10	17	17	9	15	7	8	8	7	8	7	7	17	9	15	19	14	6	17	6	16	9	14	4	18	5	8	9	13
7	0	10	13	3	12	22	9	2	8	8	20	2	15	11	10	12	16	22	10	11	21	1	10	1	9	13	2	11	10	14	21	12	19	2	22	3	9	3	19	8	11	9	2	14	18
6	10	0	10	12	3	12	3	11	9	2	10	10	10	1	11	13	9	13	11	3	11	11	2	11	1	9	8	1	11	11	11	13	9	11	13	10	10	13	9	2	12	1	9	10	8
8	13	10	0	16	11	14	8	15	19	10	12	13	2	10	21	23	3	11	21	13	10	14	12	14	11	2	12	11	21	1	16	23	15	14	15	14	20	16	11	9	22	9	13	1	14
8	3	12	16	0	15	24	11	1	10	10	22	3	17	13	13	14	18	25	13	13	23	2	12	3	11	15	4	13	13	16	23	14	21	2	25	2	12	1	21	11	14	11	4	16	20
7	12	3	11	15	0	10	4	14	9	5	8	12	11	2	14	12	10	10	10	2	9	13	3	13	4	10	11	2	10	12	9	12	7	13	10	13	9	15	7	4	13	4	12	11	6
16	22	12	14	24	10	0	13	23	19	14	2	22	14	11	23	18	13	3	20	11	5	23	12	22	13	12	20	11	16	15	3	21	3	22	1	22	17	25	3	14	22	13	21	13	4
4	9	3	8	11	4	13	0	10	11	3	11	9	8	2	14	15	7	14	14	5	12	10	4	10	4	6	7	3	14	9	12	15	10	10	14	9	13	12	10	1	15	2	8	7	9
7	2	11	15	1	14	23	10	0	9	9	21	2	16	12	12	13	17	24	12	12	22	1	11	2	10	14	3	12	12	15	22	13	20	1	24	1	11	2	20	10	13	10	3	15	19
15	8	9	19	10	9	19	11	9	0	9	17	9	19	10	5	4	18	19	3	8	18	8	7	7	8	17	8	8	3	20	18	4	16	10	19	10	2	10	16	11	4	10	7	18	15
6	8	2	10	10	5	14	3	9	9	0	12	8	10	3	11	13	9	15	11	3	13	9	2	9	1	9	6	3	11	11	13	13	11	9	15	8	10	11	11	2	12	1	7	10	10
14	20	10	12	22	8	2	11	21	17	12	0	20	12	9	21	16	11	3	18	9	3	21	10	20	11	10	18	9	14	13	5	19	3	20	3	20	15	23	1	12	20	11	19	11	2
6	2	10	13	3	12	22	9	2	9	8	20	0	15	11	12	13	16	22	12	11	21	1	10	2	9	13	2	11	12	14	21	13	19	1	22	1	11	3	19	8	13	9	3	14	18
10	15	10	2	17	11	14	8	16	19	10	12	15	0	9	21	23	1	11	21	13	9	16	12	16	11	2	13	11	21	1	16	23	14	16	14	15	20	18	11	8	22	9	14	1	13
5	11	1	10	13	2	11	2	12	10	3	9	11	9	0	12	14	9	12	12	4	10	12	3	11	2	8	9	2	12	10	10	14	9	11	12	11	11	14	9	3	13	2	10	9	8
17	10	11	21	13	14	23	14	12	5	11	21	12	21	12	0	5	20	24	4	12	22	11	11	10	10	20	10	12	7	22	22	2	20	12	24	13	6	12	20	13	1	12	9	21	19
19	12	13	23	14	12	18	15	13	4	13	16	13	23	14	5	0	22	19	2	10	17	12	11	11	12	21	12	12	2	24	17	4	15	14	19	14	3	14	15	15	4	14	11	22	14
10	16	9	3	18	10	13	7	17	18	9	11	16	1	9	20	22	0	10	20	12	9	17	11	16	10	3	14	10	20	2	15	22	14	16	14	16	19	19	10	8	21	8	15	2	13
17	22	13	11	25	10	3	14	24	19	15	3	22	11	12	24	19	10	0	20	12	2	23	13	23	14	10	21	12	17	12	5	22	4	23	4	23	18	25	4	14	23	14	22	11	5
17	10	11	21	13	10	20	14	12	3	11	18	12	21	12	4	2	20	20	0	9	19	11	10	10	10	20	10	11	4	22	19	2	17	12	20	13	3	12	17	13	3	12	9	21	16
9	11	3	13	13	2	11	5	12	8	3	9	11	13	4	12	10	12	12	9	0	10	12	1	11	2	11	9	2	9	14	10	10	9	11	12	11	8	14	9	5	11	4	10	12	8
15	21	11	10	23	9	5	12	22	18	13	3	21	9	10	22	17	9	2	19	10	0	22	11	21	12	8	19	10	15	10	7	20	5	21	5	21	16	24	2	13	21	12	20	9	4
7	1	11	14	2	13	23	10	1	8	9	21	1	16	12	11	12	17	23	11	12	22	0	11	1	10	14	3	12	11	15	22	12	20	2	23	2	10	2	20	9	12	10	2	15	19
8	10	2	12	12	3	12	4	11	7	2	10	10	12	3	11	11	11	13	10	1	11	11	0	10	1	10	8	1	10	13	11	11	10	10	13	10	9	13	10	4	11	3	9	11	9
8	1	11	14	3	13	22	10	2	7	9	20	2	16	11	10	11	16	23	10	11	21	1	10	0	10	14	3	11	10	15	21	11	20	3	23	3	9	3	20	9	11	10	2	15	19
7	9	1	11	11	4	13	4	10	8	1	11	9	11	2	10	12	10	14	10	2	12	10	1	10	0	10	7	2	10	12	12	12	10	10	14	9	9	12	10	3	11	2	8	11	9
8	13	9	2	15	10	12	6	14	17	9	10	13	2	8	20	21	3	10	20	11	8	14	10	14	10	0	11	9	20	3	15	21	13	14	13	13	19	16	10	7	21	8	12	1	12
7	2	8	12	4	11	20	7	3	8	6	18	2	13	9	10	12	14	21	10	9	19	3	8	3	7	11	0	9	10	12	19	12	17	3	21	3	9	5	17	7	11	7	1	12	16
7	11	1	11	13	2	11	3	12	8	3	9	11	11	2	12	12	10	12	11	2	10	12	1	11	2	9	9	0	11	12	10	12	9	11	12	11	10	14	9	3	12	2	10	10	8
17	10	11	21	13	10	16	14	12	3	11	14	12	21	12	7	2	20	17	4	9	15	11	10	10	10	20	10	11	0	22	15	5	14	12	17	13	1	12	14	13	6	12	9	21	13
9	14	11	1	16	12	15	9	15	20	11	13	14	1	10	22	24	2	12	22	14	10	15	13	15	12	3	12	12	22	0	17	24	15	15	15	14	21	17	12	9	23	10	13	2	14
15	21	11	16	23	9	3	12	22	18	13	5	21	16	10	22	17	15	5	19	10	7	22	11	21	12	15	19	10	15	17	0	20	2	21	2	21	16	24	5	13	21	12	20	16	3
