17
4
4
21
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	24.2	31.95	44.38	9.94	0.99	2.48	1.01	1.65	2.25	2.49	1.63	0.27	0.09	1.55	1.42	2.4	1.87


0	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	2.48	8.93	0	11.88	0	0.75	15.53	14.18	0	0	6.38	9.6	0	18.18	13.35	0	11.2

30.9	3.7	10.25	27.68	13.2	28.23	2.3	17.55	15.5	28.25	28.13	8.1	10.73	28.25	19.55	15.13	28.18	12.63


0	16	7	17	19	6	15	7	18	6	9	7	17	6	7	8	8	8
16	0	9	6	4	11	2	10	5	12	11	9	3	11	11	9	12	8
7	9	0	10	12	3	8	3	11	3	5	2	10	2	3	3	4	1
17	6	10	0	2	12	5	11	1	13	12	10	4	12	12	10	13	9
19	4	12	2	0	14	4	12	1	14	14	12	2	13	13	11	14	11
6	11	3	12	14	0	10	2	13	1	3	2	12	1	1	3	2	4
15	2	8	5	4	10	0	8	4	10	10	8	3	9	9	7	10	7
7	10	3	11	12	2	8	0	12	2	2	1	11	1	1	1	2	2
18	5	11	1	1	13	4	12	0	14	13	11	3	13	13	11	14	10
6	12	3	13	14	1	10	2	14	0	3	3	13	1	1	3	2	4
9	11	5	12	14	3	10	2	13	3	0	3	12	3	2	3	1	4
7	9	2	10	12	2	8	1	11	3	3	0	10	2	2	1	3	2
17	3	10	4	2	12	3	11	3	13	12	10	0	12	12	10	13	9
6	11	2	12	13	1	9	1	13	1	3	2	12	0	2	2	3	3
7	11	3	12	13	1	9	1	13	1	2	2	12	2	0	2	1	3
8	9	3	10	11	3	7	1	11	3	3	1	10	2	2	0	3	2
8	12	4	13	14	2	10	2	14	2	1	3	13	3	1	3	0	4
8	8	1	9	11	4	7	2	10	4	4	2	9	3	3	2	4	0











