21
16
16
37
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	27.25	39.08	16.37	4.76	22.08	1.45	33.77	5.58	9.98	26.51	31.37	18.68	30.32	42.32	35.1	19.64	1.43	0.62	1.82	0.86	0.2

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08

0	22.85	6.38	20.63	22.8	9.6	6.95	16.3	11.88	15.53	2.48	14.18	4.47	4.25	0.38	13.35	11.2	1.63	0.25	18.18	8.93	0.75

30.9	24.13	8.1	21.75	24.18	10.73	8.63	18.02	13.2	17.55	3.7	15.5	6.35	5.63	1.68	15.13	12.63	3.65	1.83	19.55	10.25	2.3


0	4	7	9	8	17	19	17	19	7	16	18	17	6	6	8	8	6	4	7	7	15
4	0	8	11	11	13	15	13	15	9	12	14	13	8	9	9	8	9	1	10	7	11
7	8	0	3	3	10	12	10	12	1	9	11	10	2	3	1	2	2	9	2	2	8
9	11	3	0	1	12	14	12	14	2	11	13	12	3	3	3	4	3	12	2	5	10
8	11	3	1	0	13	14	13	14	2	12	14	13	3	2	3	4	2	11	1	4	10
17	13	10	12	13	0	2	4	2	11	3	3	4	12	13	10	9	12	14	12	10	3
19	15	12	14	14	2	0	5	4	12	3	4	2	13	14	11	11	14	15	13	12	4
17	13	10	12	13	4	5	0	2	11	6	1	7	12	13	10	9	12	14	12	10	5
19	15	12	14	14	2	4	2	0	12	4	1	5	13	14	11	11	14	15	13	12	4
7	9	1	2	2	11	12	11	12	0	10	12	11	1	2	1	2	2	10	1	3	8
16	12	9	11	12	3	3	6	4	10	0	5	1	11	12	9	8	11	13	11	9	2
18	14	11	13	14	3	4	1	1	12	5	0	6	13	14	11	10	13	15	13	11	4
17	13	10	12	13	4	2	7	5	11	1	6	0	12	13	10	9	12	14	12	10	3
6	8	2	3	3	12	13	12	13	1	11	13	12	0	1	2	3	1	9	2	2	9
6	9	3	3	2	13	14	13	14	2	12	14	13	1	0	3	4	1	9	1	3	10
8	9	1	3	3	10	11	10	11	1	9	11	10	2	3	0	2	3	10	2	3	7
8	8	2	4	4	9	11	9	11	2	8	10	9	3	4	2	0	4	8	3	1	7
6	9	2	3	2	12	14	12	14	2	11	13	12	1	1	3	4	0	10	1	3	10
4	1	9	12	11	14	15	14	15	10	13	15	14	9	9	10	8	10	0	10	7	11
7	10	2	2	1	12	13	12	13	1	11	13	12	2	1	2	3	1	10	0	3	9
7	7	2	5	4	10	12	10	12	3	9	11	10	2	3	3	1	3	7	3	0	8
15	11	8	10	10	3	4	5	4	8	2	4	3	9	10	7	7	10	11	9	8	0










