20
15
15
35
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	45.89	21.48	3.99	28.61	41.59	17.37	38.99	35.42	29.55	18.85	19.69	21.42	21.15	10.95	24.84	0.1	1.41	0.12	2.18	2.15

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08

0	22.4	26.7	0	1.5	0	28.35	12.75	8.95	0	17.85	13.9	19.2	0	0	36.35	31.05	23.75	4.95	0	0.5

61.8	25.25	30.25	56.5	4.6	56.35	31	16.2	12.7	55.35	20.5	17.25	21.45	56.45	56.25	39.1	35.1	26.4	7.4	56.5	3.65


0	8	8	6	15	8	18	7	17	17	7	19	17	6	9	7	7	19	16	6	4
8	0	2	3	7	4	10	2	9	9	1	11	9	4	4	3	2	11	8	4	8
8	2	0	2	7	3	11	1	10	10	3	11	10	3	3	2	1	11	9	3	10
6	3	2	0	9	3	13	2	12	12	2	13	12	1	3	2	1	13	11	1	9
15	7	7	9	0	10	4	8	3	5	8	4	3	10	10	9	8	4	2	10	11
8	4	3	3	10	0	14	3	13	13	4	14	13	2	1	1	2	14	12	2	11
18	10	11	13	4	14	0	11	6	1	11	4	3	13	13	13	12	1	5	14	15
7	2	1	2	8	3	11	0	10	10	2	12	10	2	3	2	1	12	9	3	9
17	9	10	12	3	13	6	10	0	7	10	2	4	12	12	12	11	5	1	13	14
17	9	10	12	5	13	1	10	7	0	10	5	4	12	12	12	11	2	6	13	14
7	1	3	2	8	4	11	2	10	10	0	12	10	3	5	3	3	12	9	3	7
19	11	11	13	4	14	4	12	2	5	12	0	2	14	14	13	12	4	3	14	15
17	9	10	12	3	13	3	10	4	4	10	2	0	12	12	12	11	2	3	13	14
6	4	3	1	10	2	13	2	12	12	3	14	12	0	3	1	2	14	11	1	10
9	4	3	3	10	1	13	3	12	12	5	14	12	3	0	2	2	14	11	3	12
7	3	2	2	9	1	13	2	12	12	3	13	12	1	2	0	1	13	11	1	10
7	2	1	1	8	2	12	1	11	11	3	12	11	2	2	1	0	12	10	2	10
19	11	11	13	4	14	1	12	5	2	12	4	2	14	14	13	12	0	4	14	15
16	8	9	11	2	12	5	9	1	6	9	3	3	11	11	11	10	4	0	12	13
6	4	3	1	10	2	14	3	13	13	3	14	13	1	3	1	2	14	12	0	9
4	8	10	9	11	11	15	9	14	14	7	15	14	10	12	10	10	15	13	9	0










