14
7
7
21
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	44.48	5.48	21.89	14.01	49.26	30.44	12.69	0.33	1.36	2.07	2.09	2.08	0.51	1.36


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	12.2	8.4	15	19.6	6.4	26.6	24.6	15.2	4.4	7.6	26.2	4	21.4	14.8

247.2	22	20.2	24.8	28.6	22.8	39.6	36.8	26.2	17.4	19.4	39.2	18.6	30	25.8



0	7	12	13	7	22	1	15	12	13	9	12	15	7	9
7	0	5	6	14	15	8	22	9	16	15	12	9	7	15
12	5	0	11	19	20	13	27	14	21	20	17	14	5	14
13	6	11	0	16	13	13	23	10	17	16	13	6	13	21
7	14	19	16	0	25	6	9	15	16	5	15	19	14	5
22	15	20	13	25	0	22	17	10	9	20	10	7	22	30
1	8	13	13	6	22	0	15	12	13	8	12	15	8	9
15	22	27	23	9	17	15	0	14	8	7	10	17	22	14
12	9	14	10	15	10	12	14	0	8	10	4	4	12	20
13	16	21	17	16	9	13	8	8	0	11	5	11	16	21
9	15	20	16	5	20	8	7	10	11	0	10	14	15	10
12	12	17	13	15	10	12	10	4	5	10	0	7	12	20
15	9	14	6	19	7	15	17	4	11	14	7	0	15	24
7	7	5	13	14	22	8	22	12	16	15	12	15	0	9
9	15	14	21	5	30	9	14	20	21	10	20	24	9	0



