23
17
17
40
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	26.42	41.29	48.12	15.69	39.85	14.26	0.74	4.71	16.44	15.28	0.9	8.11	22.2	38.34	34.06	35.73	22.99	2.3	2.47	2.33	1.15	2.26	0.97


0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08

0	25.5	53.4	3	81.2	56.7	0	62.1	0	0	0	9.9	0	27.8	73.2	17.9	0	38.4	47.5	44.8	1	35.7	72.7	0

123.6	32.4	60.5	9.2	88.3	62	112.5	70.2	112.7	113	113	14.8	112.9	34.5	77.7	25.4	113.5	42.9	52.8	50.5	7.3	41	78.2	110.7

0	7	8	15	5	18	9	7	8	6	6	16	6	19	6	17	4	17	19	8	4	7	7	17
7	0	1	8	9	11	3	1	3	2	3	9	2	12	8	10	8	10	12	2	9	2	2	10
8	1	0	7	10	11	3	1	3	2	3	9	3	11	9	10	9	10	11	2	10	3	2	10
15	8	7	0	10	4	10	8	10	9	10	2	10	4	9	3	11	3	4	7	11	8	9	5
5	9	10	10	0	13	12	10	11	9	9	11	10	14	1	12	1	12	14	8	2	7	10	12
18	11	11	4	13	0	13	12	14	13	14	5	13	4	12	6	14	3	1	10	15	11	13	1
9	3	3	10	12	13	0	2	1	3	3	11	3	14	11	12	11	12	14	4	12	5	2	12
7	1	1	8	10	12	2	0	2	1	2	10	2	12	9	11	9	11	12	2	10	3	1	11
8	3	3	10	11	14	1	2	0	3	2	12	2	14	10	13	11	13	14	4	11	4	1	13
6	2	2	9	9	13	3	1	3	0	1	11	1	13	8	12	8	12	13	3	9	2	2	12
6	3	3	10	9	14	3	2	2	1	0	12	1	14	8	13	9	13	14	4	9	3	1	13
16	9	9	2	11	5	11	10	12	11	12	0	11	3	10	1	12	3	4	8	13	9	11	6
6	2	3	10	10	13	3	2	2	1	1	11	0	14	9	12	9	12	14	4	10	3	1	12
19	12	11	4	14	4	14	12	14	13	14	3	14	0	13	2	15	2	4	11	15	12	13	5
6	8	9	9	1	12	11	9	10	8	8	10	9	13	0	11	2	11	13	7	3	6	9	11
17	10	10	3	12	6	12	11	13	12	13	1	12	2	11	0	13	4	5	9	14	10	12	7
4	8	9	11	1	14	11	9	11	8	9	12	9	15	2	13	0	13	15	8	1	7	10	13
17	10	10	3	12	3	12	11	13	12	13	3	12	2	11	4	13	0	2	9	14	10	12	4
19	12	11	4	14	1	14	12	14	13	14	4	14	4	13	5	15	2	0	11	15	12	13	2
8	2	2	7	8	10	4	2	4	3	4	8	4	11	7	9	8	9	11	0	8	1	3	9
4	9	10	11	2	15	12	10	11	9	9	13	10	15	3	14	1	14	15	8	0	7	10	14
7	2	3	8	7	11	5	3	4	2	3	9	3	12	6	10	7	10	12	1	7	0	3	10
7	2	2	9	10	13	2	1	1	2	1	11	1	13	9	12	10	12	13	3	10	3	0	12
17	10	10	5	12	1	12	11	13	12	13	6	12	5	11	7	13	4	2	9	14	10	12	0











