15
11
11
26
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	33.31	22.8	40.15	17.92	1.27	10.93	35.55	27.45	43.48	36.94	5.16	2.43	1.85	0.03	1.7

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08

0	4.25	0.75	15.53	16.3	22.8	6.38	0.38	8.93	9.6	11.2	13.35	20.63	14.18	18.18	1.63

30.9	5.63	2.3	17.55	18.02	24.18	8.1	1.68	10.25	10.73	12.63	15.13	21.75	15.5	19.55	3.65

0	6	15	7	17	8	7	6	7	17	8	8	9	18	7	6
6	0	9	1	12	3	2	1	2	12	3	2	3	13	2	1
15	9	0	8	5	10	8	10	8	3	7	7	10	4	9	10
7	1	8	0	11	2	1	2	3	11	2	1	2	12	1	2
17	12	5	11	0	13	10	13	10	4	9	10	12	1	12	12
8	3	10	2	13	0	3	2	4	13	4	3	1	14	1	2
7	2	8	1	10	3	0	3	2	10	2	1	3	11	2	2
6	1	10	2	13	2	3	0	3	13	4	3	3	14	1	1
7	2	8	3	10	4	2	3	0	10	1	3	5	11	3	3
17	12	3	11	4	13	10	13	10	0	9	10	12	3	12	12
8	3	7	2	9	4	2	4	1	9	0	2	4	10	3	4
8	2	7	1	10	3	1	3	3	10	2	0	3	11	2	3
9	3	10	2	12	1	3	3	5	12	4	3	0	13	2	3
18	13	4	12	1	14	11	14	11	3	10	11	13	0	13	13
7	2	9	1	12	1	2	1	3	12	3	2	2	13	0	1
6	1	10	2	12	2	2	1	3	12	4	3	3	13	1	0






