40
10
10
50
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	26.54	11.37	35.47	7.43	32.91	31.7	11.47	9.11	8.32	7.48	0.51	2.39	0.04	2.39	0.06	2.43	0.74	1.31	2.16	2.24	0.47	1.65	2.35	2.44	0.27	0.45	1.87	0.12	0.18	1.22	2.12	2.49	0.01	1.36	2.15	2.27	2.11	2.2	1.87	0.29

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	2.17	22.17	1.03	9.27	11.9	20.7	14.97	9.43	24.23	18.9	18.2	27.07	30.47	2.9	27.5	0.5	12.8	15.97	5.63	15.83	12.77	17.8	24.4	8.5	5.67	8.8	0.33	21.73	6.67	30.4	18.9	3.3	8.7	1	14.93	25.03	11.93	20.73	5.97	2.17

41.2	4.87	23.87	3.33	11.5	13.67	23.4	16.8	11.47	26.07	20.67	19.77	29.43	32.17	5.27	29	2.23	14.3	17.4	7.47	17.6	14.47	20.17	25.9	10.8	7.5	10.7	2.43	24.03	7.9	32.23	20.8	4.93	10.53	3.07	16.83	27.2	13.5	23.37	8.47	4.8


0	6	14	14	19	7	7	9	17	7	18	8	5	4	14	9	6	17	17	6	19	16	8	6	7	6	9	4	17	15	8	15	16	7	15	8	13	7	7	17	5
6	0	20	20	14	3	2	11	23	1	13	10	10	9	20	3	1	12	23	11	14	22	3	9	2	1	15	10	12	21	2	21	11	11	10	4	19	13	10	12	11
14	20	0	4	15	17	20	9	4	20	19	10	10	11	3	22	19	17	4	9	19	3	20	11	19	19	15	10	20	5	21	2	15	9	16	18	1	7	10	14	9
14	20	4	0	15	17	20	9	4	20	19	10	10	11	1	22	19	17	4	9	19	3	20	11	19	19	12	10	20	2	21	5	15	9	16	18	3	7	10	14	9
19	14	15	15	0	12	12	10	19	13	4	11	14	15	16	14	14	2	19	13	4	18	11	13	12	13	24	15	5	17	14	17	3	12	4	11	14	12	12	2	14
7	3	17	17	12	0	3	9	21	3	11	8	7	7	18	5	3	10	21	8	12	20	3	6	2	2	12	7	10	19	4	19	9	9	8	1	16	11	7	10	9
7	2	20	20	12	3	0	12	23	1	12	11	10	9	21	2	2	11	23	11	12	23	1	9	1	1	15	10	11	22	2	22	10	12	8	2	19	13	10	11	12
9	11	9	9	10	9	12	0	12	12	11	1	4	5	9	14	11	9	12	3	10	11	11	3	11	11	14	5	12	10	13	10	8	2	8	10	8	2	2	9	4
17	23	4	4	19	21	23	12	0	24	23	13	14	14	3	25	23	20	4	13	22	3	23	15	22	22	12	14	24	2	25	5	18	12	19	22	5	10	14	17	12
7	1	20	20	13	3	1	12	24	0	13	11	10	10	21	2	1	12	24	11	13	23	2	9	2	2	15	10	12	22	1	22	11	12	9	3	19	14	10	12	12
18	13	19	19	4	11	12	11	23	13	0	11	13	14	20	13	14	3	23	12	1	22	11	12	11	13	23	15	1	21	14	21	5	12	4	10	18	13	11	6	13
8	10	10	10	11	8	11	1	13	11	11	0	3	4	10	13	10	10	13	2	11	12	10	2	10	10	13	4	11	11	12	11	9	1	7	9	9	3	1	10	3
5	10	10	10	14	7	10	4	14	10	13	3	0	1	11	12	9	12	14	1	14	13	10	1	9	9	10	2	12	12	11	12	11	2	10	8	9	4	2	12	2
4	9	11	11	15	7	9	5	14	10	14	4	1	0	12	11	9	13	14	2	15	14	9	2	8	8	9	1	13	13	11	13	12	3	11	8	10	4	3	13	3
14	20	3	1	16	18	21	9	3	21	20	10	11	12	0	23	20	18	3	10	19	2	20	12	20	20	13	11	21	3	22	5	15	9	17	19	2	8	11	14	9
9	3	22	22	14	5	2	14	25	2	13	13	12	11	23	0	3	12	25	13	14	25	3	11	3	3	17	12	12	24	1	24	11	14	10	4	21	15	12	12	14
6	1	19	19	14	3	2	11	23	1	14	10	9	9	20	3	0	13	23	10	14	22	3	8	3	1	14	9	13	21	2	21	12	11	10	4	18	13	9	13	11
17	12	17	17	2	10	11	9	20	12	3	10	12	13	18	12	13	0	20	11	2	20	10	11	10	12	22	14	4	19	13	19	3	11	3	9	16	10	10	4	12
17	23	4	4	19	21	23	12	4	24	23	13	14	14	3	25	23	20	0	13	22	1	23	15	22	22	15	14	24	5	25	2	18	12	19	22	5	10	14	17	12
