18
9
9
27
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	45.41	27.61	1.65	2.69	40.25	22.57	19.13	39.48	18.21	1.33	1.78	2.18	0.82	1.63	2.44	0.19	1.47	1.03

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	4.95	19.2	22.4	26.7	45.6	8.95	23.75	31.05	32.6	17.85	8.5	28.35	36.35	1.5	3.25	0.75	12.75	41.25

61.8	7.4	21.45	25.25	30.25	48.35	12.7	26.4	35.1	36.05	20.5	11.25	31	39.1	4.6	7.3	3.35	16.2	43.5

0	16	17	8	8	8	17	19	7	17	7	6	18	7	15	6	6	7	9
16	0	3	8	9	12	1	4	10	6	9	11	5	11	2	11	12	9	11
17	3	0	9	10	13	4	2	11	4	10	12	3	12	3	12	13	10	12
8	8	9	0	2	4	9	11	2	9	1	3	10	3	7	4	4	2	4
8	9	10	2	0	3	10	11	1	10	3	2	11	2	7	3	3	1	3
8	12	13	4	3	0	13	14	2	13	4	3	14	1	10	2	2	3	1
17	1	4	9	10	13	0	5	11	7	10	12	6	12	3	12	13	10	12
19	4	2	11	11	14	5	0	12	2	12	13	1	13	4	14	14	12	14
7	10	11	2	1	2	11	12	0	11	3	1	12	1	8	2	2	1	2
17	6	4	9	10	13	7	2	11	0	10	12	1	12	5	12	13	10	12
7	9	10	1	3	4	10	12	3	10	0	2	11	3	8	3	3	2	5
6	11	12	3	2	3	12	13	1	12	2	0	13	2	9	1	1	2	3
18	5	3	10	11	14	6	1	12	1	11	13	0	13	4	13	14	11	13
7	11	12	3	2	1	12	13	1	12	3	2	13	0	9	1	1	2	2
15	2	3	7	7	10	3	4	8	5	8	9	4	9	0	10	10	8	10
6	11	12	4	3	2	12	14	2	12	3	1	13	1	10	0	1	2	3
6	12	13	4	3	2	13	14	2	13	3	1	14	1	10	1	0	3	3
7	9	10	2	1	3	10	12	1	10	2	2	11	2	8	2	3	0	3
9	11	12	4	3	1	12	14	2	12	5	3	13	2	10	3	3	3	0




