22
11
11
33
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	43.79	31.76	4.86	45.42	1.75	1.99	49.43	34.31	18.83	25.22	38.17	0.12	1.81	1.75	1.15	1.46	0.85	0.43	1	2.3	0.57	0.9

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	11.88	4.25	13.35	4.47	1.63	2.48	18.18	20.3	11.2	14.18	6.38	0.25	6.95	20.63	22.8	22.85	0.75	9.6	0.38	15.53	16.3	8.93

30.9	13.2	5.63	15.13	6.35	3.65	3.7	19.55	22.08	12.63	15.5	8.1	1.83	8.63	21.75	24.18	24.13	2.3	10.73	1.68	17.55	18.02	10.25


0	19	6	8	17	6	16	7	5	8	18	7	4	19	9	8	4	15	17	6	7	17	7
19	0	13	11	5	14	4	13	14	11	1	12	15	4	14	14	15	4	2	14	12	2	12
6	13	0	2	12	1	11	2	9	3	13	2	9	13	3	3	8	9	12	1	1	12	2
8	11	2	0	10	3	9	2	10	2	11	1	10	11	3	3	9	7	10	3	1	10	3
17	5	12	10	0	12	1	12	12	9	6	10	14	2	12	13	13	3	4	13	11	7	10
6	14	1	3	12	0	11	1	10	4	13	2	10	14	3	2	9	10	12	1	2	12	3
16	4	11	9	1	11	0	11	11	8	5	9	13	3	11	12	12	2	3	12	10	6	9
7	13	2	2	12	1	11	0	10	3	13	2	10	13	2	1	10	9	12	1	1	12	3
5	14	9	10	12	10	11	10	0	8	13	9	2	14	12	11	1	10	12	9	10	12	7
8	11	3	2	9	4	8	3	8	0	10	2	8	11	4	4	8	7	9	4	2	9	1
18	1	13	11	6	13	5	13	13	10	0	11	15	4	13	14	14	4	3	14	12	1	11
7	12	2	1	10	2	9	2	9	2	11	0	9	12	3	3	8	8	10	3	1	10	2
4	15	9	10	14	10	13	10	2	8	15	9	0	15	12	11	1	11	14	9	10	14	7
19	4	13	11	2	14	3	13	14	11	4	12	15	0	14	14	15	4	2	14	12	5	12
9	14	3	3	12	3	11	2	12	4	13	3	12	14	0	1	11	10	12	3	2	12	5
8	14	3	3	13	2	12	1	11	4	14	3	11	14	1	0	11	10	13	2	2	13	4
4	15	8	9	13	9	12	10	1	8	14	8	1	15	11	11	0	11	13	9	9	13	7
15	4	9	7	3	10	2	9	10	7	4	8	11	4	10	10	11	0	3	10	8	5	8
17	2	12	10	4	12	3	12	12	9	3	10	14	2	12	13	13	3	0	13	11	4	10
6	14	1	3	13	1	12	1	9	4	14	3	9	14	3	2	9	10	13	0	2	13	3
7	12	1	1	11	2	10	1	10	2	12	1	10	12	2	2	9	8	11	2	0	11	3
17	2	12	10	7	12	6	12	12	9	1	10	14	5	12	13	13	5	4	13	11	0	10
7	12	2	3	10	3	9	3	7	1	11	2	7	12	5	4	7	8	10	3	3	10	0









