23
6
6
29
1
2
1000
5
60
65
10
0.67
0.8
15
1
100
0	20.09	20.32	19.31	30.49	8.34	9.4	0.24	0.81	1.92	0.59	1.85	1.73	2.06	2.07	0.73	0.77	1.31	0.81	2.08	2.03	1.39	0.66	1.7

0	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	24.23	20.7	5.67	5.97	15.83	27.07	24.4	0.5	9.27	8.5	18.9	27.5	12.8	17.8	30.4	11.9	3.3	30.47	2.17	0.33	14.93	21.73	1

41.2	26.07	23.4	7.5	8.47	17.6	29.43	25.9	2.23	11.5	10.8	20.67	29	14.3	20.17	32.23	13.67	4.93	32.17	4.87	2.43	16.83	24.03	3.07


0	7	7	6	17	19	5	6	6	19	7	18	9	17	8	8	7	16	4	6	4	8	17	15
7	0	1	2	12	13	10	9	1	13	2	13	2	12	2	1	3	11	10	1	10	3	12	9
7	1	0	1	11	12	10	9	2	12	1	12	2	11	1	2	3	10	9	2	10	2	11	8
6	2	1	0	12	13	9	8	1	13	2	13	3	12	2	3	2	11	8	1	9	3	12	9
17	12	11	12	0	5	12	11	13	2	10	6	12	4	10	13	10	1	13	12	14	9	7	3
19	13	12	13	5	0	14	13	14	4	12	1	14	2	11	14	12	4	15	14	15	11	2	4
5	10	10	9	12	14	0	1	9	14	9	13	12	12	10	11	7	11	1	10	2	8	12	10
6	9	9	8	11	13	1	0	8	13	8	12	11	11	9	10	6	10	2	9	3	7	11	9
6	1	2	1	13	14	9	8	0	14	3	14	3	13	3	2	3	12	9	1	9	4	13	10
19	13	12	13	2	4	14	13	14	0	12	4	14	2	11	14	12	3	15	14	15	11	5	4
7	2	1	2	10	12	9	8	3	12	0	11	3	10	1	3	2	9	8	2	9	2	10	8
18	13	12	13	6	1	13	12	14	4	11	0	13	3	11	14	11	5	14	13	15	10	1	4
9	2	2	3	12	14	12	11	3	14	3	13	0	12	3	1	5	11	11	3	12	4	12	10
17	12	11	12	4	2	12	11	13	2	10	3	12	0	10	13	10	3	13	12	14	9	4	3
8	2	1	2	10	11	10	9	3	11	1	11	3	10	0	3	3	9	9	3	10	2	10	7
8	1	2	3	13	14	11	10	2	14	3	14	1	13	3	0	4	12	11	2	11	4	13	10
7	3	3	2	10	12	7	6	3	12	2	11	5	10	3	4	0	9	7	3	7	1	10	8
16	11	10	11	1	4	11	10	12	3	9	5	11	3	9	12	9	0	12	11	13	8	6	2
4	10	9	8	13	15	1	2	9	15	8	14	11	13	9	11	7	12	0	9	1	8	13	11
6	1	2	1	12	14	10	9	1	14	2	13	3	12	3	2	3	11	9	0	10	4	12	10
4	10	10	9	14	15	2	3	9	15	9	15	12	14	10	11	7	13	1	10	0	8	14	11
8	3	2	3	9	11	8	7	4	11	2	10	4	9	2	4	1	8	8	4	8	0	9	7
17	12	11	12	7	2	12	11	13	5	10	1	12	4	10	13	10	6	13	12	14	9	0	5
15	9	8	9	3	4	10	9	10	4	8	4	10	3	7	10	8	2	11	10	11	7	5	0






