100
25
25
125
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	29.06	3.53	18.71	1.68	20.31	32.9	28.76	48.8	22.08	38.89	28.47	1.05	25.61	20.38	10.99	11.52	21.93	45.99	15.95	14.22	18.19	24.97	40.68	11.74	1.11	0.75	0.75	2.06	0.34	2.04	2.15	1.38	0.05	1.27	1.78	1.74	2.23	1.75	2.34	0.03	2.05	0.09	1.29	1.63	1.89	0.7	1.51	2.22	1.61	1.97	1.23	1.01	2.19	1.77	2.07	0.03	0.24	1.36	2.14	0.66	1.94	1.59	1.81	2.24	1.92	0.52	0.11	0.38	1.8	0.32	0.55	1.13	1.16	0.22	1.27	0.19	0.42	1.87	0.84	0.76	2.05	2.46	2.42	1.44	0.58	0.73	1.68	1.43	0.5	2.4	0.84	0.37	0.82	0.28	1.93	1.98	1.47	0.2	0.48	1.94

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	1.57	23.73	0.67	8.13	21.3	8.67	1.87	16.63	26.73	0.83	4.73	14	17.07	11.17	8.5	14.07	15.23	24.8	8.67	7.33	1.67	25.87	4.4	4.7	23.5	1.73	17.57	0.33	2.6	7.8	20.23	23.5	1.17	14.63	1	7.6	23.17	11.03	1.03	0.83	17.7	20.03	7.87	2.1	0.5	14.17	5.83	14.07	15.1	20.57	21.2	2.5	6.03	11.97	7.83	23.97	5.8	13.9	4.73	0.9	29.5	19.33	5	19.4	20.47	26.1	23.63	32.73	10.77	32.3	29.6	26.73	26.97	17.43	14.93	0.4	8.4	11.47	12.07	4.73	17.63	16.37	29.63	0.53	14.73	32.07	11.03	29.43	20.03	11.9	17.97	18.03	23.3	20.27	11.07	1	2.13	4.9	17.93	11.77

41.2	6.7	26.63	4.93	12.63	24.73	12.03	5.77	21.33	29.77	6.13	9.7	17.77	20.97	14.27	12.6	17.7	18.13	28.17	13.1	11.97	5.17	30.63	8.97	9	27.8	6.43	21.33	4.57	6.7	11.43	26.13	28.6	4.67	18.87	5.17	12.5	27.2	15.93	5.67	6.2	21.73	24.13	11.63	6.33	4	18.53	9.6	17.77	18	25.2	25.43	5.73	8.53	15.4	11.47	28.27	8.7	18	8.43	6.33	33.13	24.77	9.77	24.7	24.63	30.4	26.67	37.57	14.73	36.6	33.03	29.97	30.53	20.53	18.5	4.77	12.5	14.83	15.03	8.37	22.07	21.67	33.2	4.8	19.57	36.77	14.53	33.27	24.13	15.33	22.6	21.53	27	25.5	14.63	4.63	6.23	8.07	21.77	16.33

0	20	9	9	19	14	19	10	8	9	5	17	8	10	7	17	9	17	24	24	7	6	5	8	11	11	14	13	4	21	7	13	15	12	16	15	13	12	21	14	6	19	11	9	13	6	13	22	11	20	17	23	16	15	15	9	13	18	10	6	9	8	7	14	7	12	11	6	9	10	9	4	8	10	8	19	6	17	14	17	6	17	10	7	8	24	7	7	10	10	16	23	18	7	17	10	15	17	7	15	25
20	0	15	15	39	30	23	14	28	25	25	37	28	20	27	24	29	30	4	4	27	14	25	18	13	15	28	14	24	1	27	23	25	22	26	35	11	22	23	27	25	25	21	19	21	25	13	2	13	24	37	3	36	25	25	12	29	23	20	26	19	25	27	23	27	15	21	26	19	11	19	24	13	17	28	39	15	27	10	37	26	27	14	14	18	4	24	27	20	14	30	3	38	26	27	20	23	24	14	32	5
