0,0.6,0.52,0.36,0.28,0.28,0.6,0.48,0.52,0.28,0.04,0.48,0
0.6,0,0.44,0.96,0.76,0.6,0.68,0.16,0.24,0.36,0.6,0.56,0.6
0.52,0.44,0,0.84,0.64,0.64,0.32,0.32,0.68,0.64,0.52,0.84,0.52
0.36,0.96,0.84,0,0.2,0.36,0.56,0.8,0.84,0.6,0.36,0.56,0.36
0.28,0.76,0.64,0.2,0,0.56,0.36,0.6,0.64,0.56,0.24,0.76,0.28
0.28,0.6,0.64,0.36,0.56,0,0.88,0.48,0.52,0.28,0.32,0.2,0.28
0.6,0.68,0.32,0.56,0.36,0.88,0,0.56,0.92,0.88,0.6,1.08,0.6
0.48,0.16,0.32,0.8,0.6,0.48,0.56,0,0.4,0.36,0.48,0.56,0.48
0.52,0.24,0.68,0.84,0.64,0.52,0.92,0.4,0,0.24,0.52,0.44,0.52
0.28,0.36,0.64,0.6,0.56,0.28,0.88,0.36,0.24,0,0.32,0.2,0.28
0.04,0.6,0.52,0.36,0.24,0.32,0.6,0.48,0.52,0.32,0,0.52,0.04
0.48,0.56,0.84,0.56,0.76,0.2,1.08,0.56,0.44,0.2,0.52,0,0.48
0,0.6,0.52,0.36,0.28,0.28,0.6,0.48,0.52,0.28,0.04,0.48,0
