0,0.6,0.04,0.52,0.36,0.6,0.28,0.48,0.28,0.52,0.28,0
0.6,0,0.6,0.44,0.96,0.68,0.36,0.16,0.6,0.24,0.76,0.6
0.04,0.6,0,0.52,0.36,0.6,0.32,0.48,0.32,0.52,0.24,0.04
0.52,0.44,0.52,0,0.84,0.32,0.64,0.32,0.64,0.68,0.64,0.52
0.36,0.96,0.36,0.84,0,0.56,0.6,0.8,0.36,0.84,0.2,0.36
0.6,0.68,0.6,0.32,0.56,0,0.88,0.56,0.88,0.92,0.36,0.6
0.28,0.36,0.32,0.64,0.6,0.88,0,0.36,0.28,0.24,0.56,0.28
0.48,0.16,0.48,0.32,0.8,0.56,0.36,0,0.48,0.4,0.6,0.48
0.28,0.6,0.32,0.64,0.36,0.88,0.28,0.48,0,0.52,0.56,0.28
0.52,0.24,0.52,0.68,0.84,0.92,0.24,0.4,0.52,0,0.64,0.52
0.28,0.76,0.24,0.64,0.2,0.36,0.56,0.6,0.56,0.64,0,0.28
0,0.6,0.04,0.52,0.36,0.6,0.28,0.48,0.28,0.52,0.28,0
