"case","start_time","end_time","exit_code","log_file"
"6-25","2026-06-13T21:25:47","2026-06-13T21:34:21","0","results/final_30min/logs/tdrp_6_25_console.log"
"6-50","2026-06-13T21:34:21","2026-06-13T21:36:12","0","results/final_30min/logs/tdrp_6_50_console.log"
"6-75","2026-06-13T21:36:12","2026-06-13T21:36:35","0","results/final_30min/logs/tdrp_6_75_console.log"
"7-25","2026-06-13T21:36:35","2026-06-13T22:06:56","0","results/final_30min/logs/tdrp_7_25_console.log"
"7-50","2026-06-13T22:06:56","2026-06-13T22:13:43","0","results/final_30min/logs/tdrp_7_50_console.log"
"7-75","2026-06-13T22:13:43","2026-06-13T22:16:36","0","results/final_30min/logs/tdrp_7_75_console.log"
"8-25","2026-06-13T22:16:36","2026-06-13T22:47:11","0","results/final_30min/logs/tdrp_8_25_console.log"
"8-50","2026-06-13T22:47:11","2026-06-13T23:17:39","0","results/final_30min/logs/tdrp_8_50_console.log"
"8-75","2026-06-13T23:17:39","2026-06-13T23:25:39","0","results/final_30min/logs/tdrp_8_75_console.log"
"9-25","2026-06-13T23:25:39","2026-06-13T23:55:49","0","results/final_30min/logs/tdrp_9_25_console.log"
"9-50","2026-06-13T23:55:49","2026-06-14T00:26:27","0","results/final_30min/logs/tdrp_9_50_console.log"
"9-75","2026-06-14T00:26:27","2026-06-14T00:56:43","0","results/final_30min/logs/tdrp_9_75_console.log"
"10-25","2026-06-14T00:56:43","2026-06-14T01:23:45","0","results/final_30min/logs/tdrp_10_25_console.log"
"10-50","2026-06-14T01:23:45","2026-06-14T01:30:24","0","results/final_30min/logs/tdrp_10_50_console.log"
"10-75","2026-06-14T01:30:24","2026-06-14T02:00:40","0","results/final_30min/logs/tdrp_10_75_console.log"
"11-25","2026-06-14T02:00:40","2026-06-14T02:03:58","1","results/final_30min/logs/tdrp_11_25_console.log"
"11-50","2026-06-14T02:03:58","2026-06-14T02:34:10","0","results/final_30min/logs/tdrp_11_50_console.log"
"11-75","2026-06-14T02:34:10","2026-06-14T03:04:18","0","results/final_30min/logs/tdrp_11_75_console.log"
