i,j,distance,truck_time,drone_time,robot_distance,robot_time
0,1,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
0,2,6.0,0.13333333333333333,0.08,6.0,0.24
0,3,6.0,0.13333333333333333,0.08,6.0,0.24
0,4,9.0,0.2,0.12,9.0,0.36
0,5,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,6,6.0,0.13333333333333333,0.08,6.0,0.24
0,7,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,8,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,9,0.0,0.0,0.0,0.0,0.0
1,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,4,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
1,5,3.0,0.06666666666666667,0.04,3.0,0.12
1,6,3.0,0.06666666666666667,0.04,3.0,0.12
1,7,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
1,9,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
2,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,3,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,4,3.0,0.06666666666666667,0.04,3.0,0.12
2,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,7,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,9,6.0,0.13333333333333333,0.08,6.0,0.24
3,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,2,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,4,3.0,0.06666666666666667,0.04,3.0,0.12
3,5,3.0,0.06666666666666667,0.04,3.0,0.12
3,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,7,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,9,6.0,0.13333333333333333,0.08,6.0,0.24
4,1,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
4,2,3.0,0.06666666666666667,0.04,3.0,0.12
4,3,3.0,0.06666666666666667,0.04,3.0,0.12
4,5,3.0,0.06666666666666667,0.04,3.0,0.12
4,6,3.0,0.06666666666666667,0.04,3.0,0.12
4,7,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
4,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
4,9,9.0,0.2,0.12,9.0,0.36
5,1,3.0,0.06666666666666667,0.04,3.0,0.12
5,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,3,3.0,0.06666666666666667,0.04,3.0,0.12
5,4,3.0,0.06666666666666667,0.04,3.0,0.12
5,6,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,7,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
5,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,9,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
6,1,3.0,0.06666666666666667,0.04,3.0,0.12
6,2,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,3,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,4,3.0,0.06666666666666667,0.04,3.0,0.12
6,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
6,7,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
6,9,6.0,0.13333333333333333,0.08,6.0,0.24
7,1,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
7,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
7,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
7,4,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
7,5,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
7,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
7,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
7,9,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
8,1,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
8,2,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
8,3,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
8,4,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
8,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
8,6,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
8,7,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
8,9,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
