i,j,distance,truck_time,drone_time,robot_distance,robot_time
0,1,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,2,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
0,3,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,4,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
0,5,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,6,6.0,0.13333333333333333,0.08,6.0,0.24
0,7,9.0,0.2,0.12,9.0,0.36
0,8,6.0,0.13333333333333333,0.08,6.0,0.24
0,9,6.0,0.13333333333333333,0.08,6.0,0.24
0,10,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
0,11,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,12,0.0,0.0,0.0,0.0,0.0
1,2,3.0,0.06666666666666667,0.04,3.0,0.12
1,3,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
1,4,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
1,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,6,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,7,3.0,0.06666666666666667,0.04,3.0,0.12
1,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,9,3.0,0.06666666666666667,0.04,3.0,0.12
1,10,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,11,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,12,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
2,1,3.0,0.06666666666666667,0.04,3.0,0.12
2,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,4,3.0,0.06666666666666667,0.04,3.0,0.12
2,5,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,6,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,7,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,8,3.0,0.06666666666666667,0.04,3.0,0.12
2,9,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,10,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
2,11,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
2,12,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
3,1,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
