0,0.48,0.6,0.52,0.6,0.28,0.52,0.36,0.04,0.28,0
0.48,0,0.16,0.4,0.56,0.6,0.32,0.8,0.48,0.36,0.48
0.6,0.16,0,0.24,0.68,0.76,0.44,0.96,0.6,0.36,0.6
0.52,0.4,0.24,0,0.92,0.64,0.68,0.84,0.52,0.24,0.52
0.6,0.56,0.68,0.92,0,0.36,0.32,0.56,0.6,0.88,0.6
0.28,0.6,0.76,0.64,0.36,0,0.64,0.2,0.24,0.56,0.28
0.52,0.32,0.44,0.68,0.32,0.64,0,0.84,0.52,0.64,0.52
0.36,0.8,0.96,0.84,0.56,0.2,0.84,0,0.36,0.6,0.36
0.04,0.48,0.6,0.52,0.6,0.24,0.52,0.36,0,0.32,0.04
0.28,0.36,0.36,0.24,0.88,0.56,0.64,0.6,0.32,0,0.28
0,0.48,0.6,0.52,0.6,0.28,0.52,0.36,0.04,0.28,0
