i,j,distance,truck_time,drone_time,robot_distance,robot_time
0,1,12.0,0.26666666666666666,0.16,12.0,0.48
0,2,15.0,0.3333333333333333,0.2,15.0,0.6
0,3,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
0,4,15.0,0.3333333333333333,0.2,15.0,0.6
0,5,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,6,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
0,7,9.0,0.2,0.12,9.0,0.36
0,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
0,9,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,10,0.0,0.0,0.0,0.0,0.0
1,2,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
1,3,10.0,0.2222222222222222,0.13333333333333333,10.0,0.4
1,4,14.0,0.3111111111111111,0.18666666666666668,14.0,0.56
1,5,15.0,0.3333333333333333,0.2,15.0,0.6
1,6,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
1,7,20.0,0.4444444444444444,0.26666666666666666,20.0,0.8
1,8,12.0,0.26666666666666666,0.16,12.0,0.48
1,9,9.0,0.2,0.12,9.0,0.36
1,10,12.0,0.26666666666666666,0.16,12.0,0.48
2,1,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
2,3,6.0,0.13333333333333333,0.08,6.0,0.24
2,4,17.0,0.37777777777777777,0.22666666666666666,17.0,0.68
2,5,19.0,0.4222222222222222,0.25333333333333335,19.0,0.76
2,6,11.0,0.24444444444444444,0.14666666666666667,11.0,0.44
2,7,24.0,0.5333333333333333,0.32,24.0,0.96
2,8,15.0,0.3333333333333333,0.2,15.0,0.6
2,9,9.0,0.2,0.12,9.0,0.36
2,10,15.0,0.3333333333333333,0.2,15.0,0.6
3,1,10.0,0.2222222222222222,0.13333333333333333,10.0,0.4
3,2,6.0,0.13333333333333333,0.08,6.0,0.24
3,4,23.0,0.5111111111111111,0.30666666666666664,23.0,0.92
3,5,16.0,0.35555555555555557,0.21333333333333335,16.0,0.64
3,6,17.0,0.37777777777777777,0.22666666666666666,17.0,0.68
3,7,21.0,0.4666666666666667,0.28,21.0,0.84
3,8,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
3,9,6.0,0.13333333333333333,0.08,6.0,0.24
3,10,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
4,1,14.0,0.3111111111111111,0.18666666666666668,14.0,0.56
4,2,17.0,0.37777777777777777,0.22666666666666666,17.0,0.68
4,3,23.0,0.5111111111111111,0.30666666666666664,23.0,0.92
4,5,9.0,0.2,0.12,9.0,0.36
4,6,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
4,7,14.0,0.3111111111111111,0.18666666666666668,14.0,0.56
4,8,15.0,0.3333333333333333,0.2,15.0,0.6
4,9,22.0,0.4888888888888889,0.29333333333333333,22.0,0.88
4,10,15.0,0.3333333333333333,0.2,15.0,0.6
5,1,15.0,0.3333333333333333,0.2,15.0,0.6
5,2,19.0,0.4222222222222222,0.25333333333333335,19.0,0.76
5,3,16.0,0.35555555555555557,0.21333333333333335,16.0,0.64
5,4,9.0,0.2,0.12,9.0,0.36
5,6,16.0,0.35555555555555557,0.21333333333333335,16.0,0.64
5,7,5.0,0.1111111111111111,0.06666666666666667,5.0,0.2
5,8,6.0,0.13333333333333333,0.08,6.0,0.24
5,9,14.0,0.3111111111111111,0.18666666666666668,14.0,0.56
5,10,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
6,1,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
6,2,11.0,0.24444444444444444,0.14666666666666667,11.0,0.44
6,3,17.0,0.37777777777777777,0.22666666666666666,17.0,0.68
6,4,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
6,5,16.0,0.35555555555555557,0.21333333333333335,16.0,0.64
6,7,21.0,0.4666666666666667,0.28,21.0,0.84
6,8,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
6,9,16.0,0.35555555555555557,0.21333333333333335,16.0,0.64
6,10,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
7,1,20.0,0.4444444444444444,0.26666666666666666,20.0,0.8
7,2,24.0,0.5333333333333333,0.32,24.0,0.96
7,3,21.0,0.4666666666666667,0.28,21.0,0.84
7,4,14.0,0.3111111111111111,0.18666666666666668,14.0,0.56
7,5,5.0,0.1111111111111111,0.06666666666666667,5.0,0.2
7,6,21.0,0.4666666666666667,0.28,21.0,0.84
7,8,9.0,0.2,0.12,9.0,0.36
7,9,15.0,0.3333333333333333,0.2,15.0,0.6
7,10,9.0,0.2,0.12,9.0,0.36
8,1,12.0,0.26666666666666666,0.16,12.0,0.48
8,2,15.0,0.3333333333333333,0.2,15.0,0.6
8,3,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
8,4,15.0,0.3333333333333333,0.2,15.0,0.6
8,5,6.0,0.13333333333333333,0.08,6.0,0.24
8,6,13.0,0.28888888888888886,0.17333333333333334,13.0,0.52
8,7,9.0,0.2,0.12,9.0,0.36
8,9,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
8,10,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
9,1,9.0,0.2,0.12,9.0,0.36
9,2,9.0,0.2,0.12,9.0,0.36
9,3,6.0,0.13333333333333333,0.08,6.0,0.24
9,4,22.0,0.4888888888888889,0.29333333333333333,22.0,0.88
9,5,14.0,0.3111111111111111,0.18666666666666668,14.0,0.56
9,6,16.0,0.35555555555555557,0.21333333333333335,16.0,0.64
9,7,15.0,0.3333333333333333,0.2,15.0,0.6
9,8,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
9,10,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
