0,0.36,0.52,0.04,0.6,0.28,0.52,0.28,0.28,0.6,0.48,0
0.36,0,0.84,0.36,0.96,0.36,0.84,0.6,0.2,0.56,0.8,0.36
0.52,0.84,0,0.52,0.24,0.52,0.68,0.24,0.64,0.92,0.4,0.52
0.04,0.36,0.52,0,0.6,0.32,0.52,0.32,0.24,0.6,0.48,0.04
0.6,0.96,0.24,0.6,0,0.6,0.44,0.36,0.76,0.68,0.16,0.6
0.28,0.36,0.52,0.32,0.6,0,0.64,0.28,0.56,0.88,0.48,0.28
0.52,0.84,0.68,0.52,0.44,0.64,0,0.64,0.64,0.32,0.32,0.52
0.28,0.6,0.24,0.32,0.36,0.28,0.64,0,0.56,0.88,0.36,0.28
0.28,0.2,0.64,0.24,0.76,0.56,0.64,0.56,0,0.36,0.6,0.28
0.6,0.56,0.92,0.6,0.68,0.88,0.32,0.88,0.36,0,0.56,0.6
0.48,0.8,0.4,0.48,0.16,0.48,0.32,0.36,0.6,0.56,0,0.48
0,0.36,0.52,0.04,0.6,0.28,0.52,0.28,0.28,0.6,0.48,0
