i,j,distance,truck_time,drone_time,robot_distance,robot_time
0,1,9.0,0.2,0.12,9.0,0.36
0,2,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,3,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
0,4,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,5,6.0,0.13333333333333333,0.08,6.0,0.24
0,6,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
0,7,6.0,0.13333333333333333,0.08,6.0,0.24
0,8,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,9,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
0,10,6.0,0.13333333333333333,0.08,6.0,0.24
0,11,0.0,0.0,0.0,0.0,0.0
1,2,3.0,0.06666666666666667,0.04,3.0,0.12
1,3,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
1,4,5.0,0.1111111111111111,0.06666666666666667,5.0,0.2
1,5,3.0,0.06666666666666667,0.04,3.0,0.12
1,6,3.0,0.06666666666666667,0.04,3.0,0.12
1,7,3.0,0.06666666666666667,0.04,3.0,0.12
1,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,9,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
1,10,3.0,0.06666666666666667,0.04,3.0,0.12
1,11,9.0,0.2,0.12,9.0,0.36
2,1,3.0,0.06666666666666667,0.04,3.0,0.12
2,3,3.0,0.06666666666666667,0.04,3.0,0.12
2,4,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,5,3.0,0.06666666666666667,0.04,3.0,0.12
2,6,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,7,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
2,9,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,10,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
2,11,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
3,1,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,2,3.0,0.06666666666666667,0.04,3.0,0.12
3,4,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
3,5,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,6,3.0,0.06666666666666667,0.04,3.0,0.12
3,7,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
3,9,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
3,10,3.0,0.06666666666666667,0.04,3.0,0.12
3,11,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
4,1,5.0,0.1111111111111111,0.06666666666666667,5.0,0.2
4,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
4,3,4.0,0.08888888888888889,0.05333333333333334,4.0,0.16
4,5,3.0,0.06666666666666667,0.04,3.0,0.12
4,6,3.0,0.06666666666666667,0.04,3.0,0.12
4,7,3.0,0.06666666666666667,0.04,3.0,0.12
4,8,3.0,0.06666666666666667,0.04,3.0,0.12
4,9,3.0,0.06666666666666667,0.04,3.0,0.12
4,10,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
4,11,7.0,0.15555555555555556,0.09333333333333334,7.0,0.28
5,1,3.0,0.06666666666666667,0.04,3.0,0.12
5,2,3.0,0.06666666666666667,0.04,3.0,0.12
5,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,4,3.0,0.06666666666666667,0.04,3.0,0.12
5,6,3.0,0.06666666666666667,0.04,3.0,0.12
5,7,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
5,8,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
5,9,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
5,10,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
5,11,6.0,0.13333333333333333,0.08,6.0,0.24
6,1,3.0,0.06666666666666667,0.04,3.0,0.12
6,2,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,3,3.0,0.06666666666666667,0.04,3.0,0.12
6,4,3.0,0.06666666666666667,0.04,3.0,0.12
6,5,3.0,0.06666666666666667,0.04,3.0,0.12
6,7,3.0,0.06666666666666667,0.04,3.0,0.12
6,8,1.0,0.022222222222222223,0.013333333333333334,1.0,0.04
6,9,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
6,10,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
6,11,8.0,0.17777777777777778,0.10666666666666667,8.0,0.32
7,1,3.0,0.06666666666666667,0.04,3.0,0.12
7,2,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
7,3,2.0,0.044444444444444446,0.02666666666666667,2.0,0.08
