100
25
25
125
1
2
1000
5
60
65
10
0.67
0.8
15
1
100

0	27.77	27.13	44.49	21.02	25.34	48.37	7.09	48.79	13.68	35.09	31.47	35.45	21.37	32.99	41.54	6.06	8.96	48.87	34.38	15.56	23.28	10.67	17.23	16.75	20.06	0.38	0.87	0.3	2.21	0.24	2.33	1	0.12	0.86	1.84	1.99	1.36	1.72	2.23	0.14	0.76	0.12	0.49	1.8	1.8	2.19	1.46	0.18	2.31	2	0.71	1.36	2.46	1.79	2.1	1.08	1.18	1.4	0.67	1.87	1.26	1.62	0.77	0.35	1.19	0.91	1.97	1.95	1.67	0.33	0.05	1.4	0.75	2.35	2.45	0.72	2	2.24	1.49	2.21	2.36	1.37	1.82	1.44	0.06	1.12	1.62	1.3	0.93	2.34	2.07	2.12	0.93	1.48	2.18	2.33	1.67	0.52	1.63	0.18

0	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08	0.08

0	1.25	2.5	6.9	4.85	6.7	1.8	4.5	6.15	8.55	3.4	1.85	1	3.35	3.1	4.35	3.75	5.55	2.95	4.35	3.2	1.95	5.05	4.95	5.05	4	3.25	1.9	7.2	5.25	5	2.55	2.85	3.45	2.6	4	4.25	2.9	8.6	5.6	4.7	6.35	7.6	0.7	2.5	2.55	2.9	1.35	2.6	5.05	1.65	5.3	7.5	6.5	3.45	2.15	0.75	2.1	6.85	0.55	3.55	3.75	1.75	2.1	3.7	3.55	5.45	2.25	1.6	5.85	2	3.85	3.45	2.75	0.95	7.55	4.1	0.7	7.35	8.6	9.5	4.6	10	3.95	4.35	8.65	8.15	3.1	2.75	1.5	3	3.2	4.25	3.7	5.8	4.9	2.65	4.8	6.4	1.75	7.55

12	7.25	8.5	8.45	10.85	8.05	3.7	5.95	7.2	9.05	3.9	3.6	7	4.8	9.1	4.85	4.25	8.1	5.7	10.35	9.2	5.4	5.55	5.45	5.55	6.05	5.9	5.45	8.65	8.85	5.5	3.05	8.6	6.3	5.6	4.5	4.75	5.75	10.5	7.85	5.95	9	8.1	6.7	8.5	4.25	8.55	7.35	5.35	5.55	3.3	5.8	8	7.95	3.95	3.9	1.25	8.1	10.1	2.15	9.55	5.1	7.75	8.1	6.35	9.55	6.4	8.25	7.6	8.4	8	6.3	9.45	5.3	6.95	8.05	6.95	6.7	9	9.1	11.1	6.05	10.5	6.2	5.6	10.4	8.65	3.6	6	7.5	4.65	9.2	4.75	4.2	8.75	7.85	4.1	6.15	9.7	5.85	8.05

0	12	7	21	6	5	17	13	14	17	16	18	10	8	20	10	16	13	17	7	18	19	19	18	15	6	16	15	4	24	18	4	27	15	22	11	20	14	8	23	12	9	17	6	21	24	25	13	10	7	15	13	7	9	14	20	7	20	12	5	17	23	17	17	2	16	14	15	13	17	19	15	19	7	8	17	12	7	15	22	4	15	9	17	19	8	22	14	24	15	24	16	18	16	23	18	9	16	13	14	17
12	0	17	33	12	8	29	15	9	12	11	19	13	10	22	2	13	11	12	18	20	17	20	19	7	18	18	13	15	23	7	10	15	14	24	17	18	13	17	11	10	20	9	8	23	22	24	25	22	9	27	11	12	10	9	32	14	9	14	7	19	21	19	15	10	18	12	14	11	29	20	4	31	19	5	5	4	5	14	10	13	26	15	15	30	20	10	15	23	16	25	14	29	28	21	19	7	18	10	12	19
